Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;10566
02 - Saguenay – Lac-Saint-Jean;13755
03 - Capitale-Nationale;41318
04 - Mauricie-et-Centre-du-Québec;23057
05 - Estrie;20137
06 - Montréal;106 581
07 - Outaouais;13294
08 - Abitibi-Témiscamingue;10046
09 - Côte-Nord;17 605
10 - Nord-du-Québec;7779
11 - Gaspésie – Îles-de-la-Madeleine;9890
12 - Chaudière-Appalaches;18692
13 - Laval;15585
14 - Lanaudière;20455
15 - Laurentides;20413
16 - Montérégie;52086
17 - Nunavik;4586
18 - Terres-Cries-de-la-Baie-James;10114
Inconnu;2440
Total;418 399
