,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1553,4,1536,17,30,0,1486,37,196934.5,788.59,18.80,15.23
02,02 - Saguenay-Lac-Saint-Jean,8817,0,8627,190,264,0,8541,12,277505,3177.24,4.33,95.13
03,03 - Capitale-Nationale,22375,36,22039,336,981,2,21107,287,757803,2952.61,37.76,129.45
04,04 - Mauricie et Centre-du-Québec,12760,24,12529,231,499,0,12095,166,523331.5,2438.23,31.66,95.35
05,05 - Estrie,11520,21,11070,450,302,0,11004,214,494966.5,2327.43,43.08,61.01
06,06 - Montréal,105872,352,103013,2859,4502,3,97355,4015,2072060.5,5109.50,193.17,217.27
07,07 - Outaouais,6280,31,5874,406,160,1,5946,174,402744,1559.30,43.02,39.73
08,08 - Abitibi-Témiscamingue,830,1,797,33,7,0,782,41,147637,562.19,27.77,4.74
09,09 - Côte-Nord,354,0,339,15,3,0,347,4,89700.5,394.65,4.48,3.34
10,10 - Nord-du-Québec,87,0,85,2,0,0,87,0,13521.5,643.42,0.00,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1706,0,1687,19,45,0,1660,1,89823,1899.29,1.12,50.10
12,12 - Chaudière-Appalaches,11683,1,11417,266,287,0,11330,66,431109.5,2709.98,15.28,66.57
13,13 - Laval,24553,105,23031,1522,868,0,22904,781,444658.5,5521.77,174.89,195.21
14,14 - Lanaudière,20237,86,19526,711,492,0,19144,601,522367,3874.10,114.55,94.19
15,15 - Laurentides,16277,68,15676,601,471,4,15306,500,630238,2582.68,78.93,74.73
16,16 - Montérégie,41682,127,39945,1737,1472,3,39146,1064,1438226,2898.15,73.70,102.35
17,17 - Nunavik,42,1,40,2,0,0,40,2,14336.5,292.96,13.88,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,2,0,114,3,18507,643.00,16.10,10.81
98,Inconnu,4,0,4,0,0,0,4,0,.,.,.,.
99,Hors Québec,252,1,248,4,0,0,247,5,.,.,.,.
999,Ensemble du Québec,287003,858,277602,9401,10385,13,268645,7973,8565469.5,3350.70,92.80,121.24

