RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,72,0,0,0,72,980,497.98,"93,3","92,9"
02 - Saguenay–Lac-Saint-Jean,1,0,0,0,1,421,151.78,"84,2","69,2"
03 - Capitale-Nationale,248,2,1,6,257,6956,915.09,"96,9","92,3"
04 - Mauricie et Centre-du-Québec,36,0,0,0,36,807,153.91,"89,2","93,2"
05 - Estrie,80,0,1,0,81,1040,209.35,"95,8","92,5"
06 - Montréal,2220,28,18,12,2278,9044,435.13,"76,9","87,7"
07 - Outaouais,299,3,3,5,310,2848,704.16,"91,9","86,7"
08 - Abitibi-Témiscamingue,0,143,0,0,143,232,157.12,"0,0",.
09 - Côte-Nord,0,0,0,0,0,78,87.28,"92,9","69,2"
10 - Nord-du-Québec,0,0,0,0,0,0,0.00,.,.
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,57,63.58,"100,0","66,7"
12 - Chaudière-Appalaches,132,0,0,0,132,2104,487.14,"92,8","88,2"
13 - Laval,243,7,0,5,255,2224,498.02,"74,2","87,7"
14 - Lanaudière,199,5,1,6,211,1127,214.81,"74,5","84,8"
15 - Laurentides,246,6,6,2,260,1696,267.72,"80,7","88,9"
16 - Montérégie,147,5,24,0,176,2680,185.63,"82,9","84,5"
Inconnu,0,1,0,0,1,893,,"85,5","89,8"
Hors Québec,15,1,0,1,17,53,,"50,0","100,0"
Ensemble du Québec,3938,201,54,37,4230,33240,386.88,"84,3","88,0"
