Régions sociosanitaires;2021-05-02;2021-05-03;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;32;49;3 152
02 - Saguenay – Lac-Saint-Jean;8;19;10 334
03 - Capitale-Nationale;84;75;31 493
04 - Mauricie-et-Centre-du-Québec;26;37;14 319
05 - Estrie;47;48;13 433
06 - Montréal;206;190;126 277
07 - Outaouais;15;32;11 429
08 - Abitibi-Témiscamingue;0;0;1 098
09 - Côte-Nord;5;5;533
10 - Nord-du-Québec;0;0;94
11 - Gaspésie – Îles-de-la-Madeleine;4;5;1 848
12 - Chaudière-Appalaches;99;121;17 175
13 - Laval;88;62;30 005
14 - Lanaudière;35;33;23 181
15 - Laurentides;32;36;19 895
16 - Montérégie;116;83;48 676
17 - Nunavik;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;119
Hors Québec;1;2;364
Région à déterminer;0;0;3
Total;798;797;353 475
