"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;82444
02 - Saguenay - Lac-Saint-Jean;118903
03 - Capitale-Nationale;309997
04 - Mauricie et Centre-du-Québec;203913
05 - Estrie;184309
06 - Montréal;826128
07 - Outaouais;155055
08 - Abitibi-Témiscamingue;51651
09 - Côte-Nord;46577
10 - Nord-du-Québec;10325
11 - Gaspésie - Îles-de-la-Madeleine;50353
12 - Chaudière-Appalaches;176526
13 - Laval;156142
14 - Lanaudière;182130
15 - Laurentides;224276
16 - Montérégie;498692
17 - Nunavik;9451
18 - Terres-Cries-de-la-Baie-James;18138
Inconnue;3532
Total;3308542
