RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,169,0,0,0,169,1253,636.70,100,50
02 - Saguenay–Lac-Saint-Jean,91,0,2,0,93,1020,367.73,100,100
03 - Capitale-Nationale,644,3,11,0,658,8027,"1,055.98",85.7,66.7
04 - Mauricie et Centre-du-Québec,103,0,0,3,106,1408,268.54,100,40
05 - Estrie,93,0,16,1,110,2442,491.58,85.7,75
06 - Montréal,3272,129,215,21,3637,14512,698.21,86.9,86.8
07 - Outaouais,486,16,34,0,536,3898,963.76,100,100
08 - Abitibi-Témiscamingue,0,177,0,0,177,273,184.89,100,100
09 - Côte-Nord,10,0,0,0,10,150,167.85,.,.
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,194,216.40,100,100
12 - Chaudière-Appalaches,500,2,11,0,513,3516,814.06,100,69.2
13 - Laval,421,13,18,1,453,3311,741.43,97.1,91.2
14 - Lanaudière,286,33,13,0,332,1804,343.85,84.1,81.1
15 - Laurentides,466,18,47,0,531,2585,408.05,85.7,83.3
16 - Montérégie,331,17,129,7,484,4477,310.11,94.3,87.9
Inconnu,0,1,0,0,1,724,,100,100
Hors Québec,47,9,3,2,61,104,,0,100
Ensemble du Québec,6927,419,499,35,7880,49714,578.62,90.9,86.8
