Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;n.d.;37;33,7;4762;4335,3;0;;0;
5-9 ans;n.d.;47;43,7;6278;5835,7;0;;0;
10-19 ans;n.d.;109;54,8;14542;7310,7;0;;0;
20-29 ans;n.d.;111;34,1;22348;6864,1;0;;< 5;n.p.
30-39 ans;n.d.;82;25;20309;6187,8;0;;7;n.p.
40-49 ans;n.d.;67;24,1;19710;7100,3;0;;22;* 7,9
50-59 ans;n.d.;66;25,7;16206;6318,1;< 5;n.p.;103;40,2
60-69 ans;n.d.;22;* 10,2;9882;4567,9;< 5;n.p.;330;152,5
70-79 ans;n.d.;19;* 13,1;6445;4460;< 5;n.p.;834;577,1
80 ans et +;n.d.;17;* 16,9;11946;11875,8;< 5;n.p.;3465;3444,6
Manquant;n.d.;0;;92;;0;;0;
Total;30;577;27,9;132520;6415,4;8;n.p.;4764;230,6
