Régions sociosanitaires;2021-06-20;2021-06-21;2021-06-22;2021-06-23;2021-06-24;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;0;2;1;1;3;3 954
02 - Saguenay – Lac-Saint-Jean;0;2;2;1;1;11 010
03 - Capitale-Nationale;2;0;2;2;1;32 750
04 - Mauricie-et-Centre-du-Québec;1;5;2;0;2;15 176
05 - Estrie;1;1;1;3;1;14 880
06 - Montréal;36;25;44;29;30;132 520
07 - Outaouais;6;3;9;8;16;12 472
08 - Abitibi-Témiscamingue;0;0;0;0;0;1 145
09 - Côte-Nord;0;1;0;0;0;574
10 - Nord-du-Québec;0;0;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;0;1;3;1;0;2 061
12 - Chaudière-Appalaches;2;6;3;3;2;19 260
13 - Laval;13;16;16;19;7;31 563
14 - Lanaudière;12;7;7;5;8;24 008
15 - Laurentides;6;2;2;5;5;20 969
16 - Montérégie;10;13;33;17;8;51 316
17 - Nunavik;0;0;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;119
Hors Québec;1;0;2;2;4;469
Région à déterminer;0;0;0;0;0;4
Total;90;84;127;96;88;374 406
