No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,8,6,4,9,0,30,0.3 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,74,4,85,8,265,2.5 %
03,03 - Capitale-Nationale,3,507,154,26,304,24,1018,9.5 %
04,04 - Mauricie et Centre-du-Québec,6,151,222,21,103,5,508,4.8 %
05,05 - Estrie,3,125,58,17,109,11,323,3.0 %
06,06 - Montréal,202,2726,817,132,677,74,4628,43.3 %
07,07 - Outaouais,8,73,36,13,42,2,174,1.6 %
08,08 - Abitibi-Témiscamingue,0,0,7,0,1,0,8,0.1 %
09,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,17,0,13,0,45,0.4 %
12,12 - Chaudière-Appalaches,5,104,70,6,101,4,290,2.7 %
13,13 - Laval,2,509,137,53,184,5,890,8.3 %
14,14 - Lanaudière,3,246,121,12,118,2,502,4.7 %
15,15 - Laurentides,64,176,100,50,81,14,485,4.5 %
16,16 - Montérégie,15,613,357,60,458,9,1512,14.2 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,2,0,0,1,3,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),314,5347,2181,398,2285,159,10684,
9999,Ensemble du Québec (%),2.9 %,50.0 %,20.4 %,3.7 %,21.4 %,1.5 %,.,100.0 %

