,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,2107,40,2088,19,30,0,1711,366,196934.5,1069.90,185.98,15.23
02,02 - Saguenay-Lac-Saint-Jean,9521,28,9314,207,265,0,9045,211,277505,3430.93,76.07,95.49
03,03 - Capitale-Nationale,24952,249,24613,339,1018,0,22300,1634,757803,3292.68,214.96,134.34
04,04 - Mauricie et Centre-du-Québec,13280,30,13047,233,508,0,12613,159,523331.5,2537.59,30.32,97.07
05,05 - Estrie,12097,29,11618,479,323,0,11587,187,494966.5,2444.00,37.64,65.26
06,06 - Montréal,116949,361,114048,2901,4628,3,108906,3415,2072060.5,5644.09,164.30,223.35
07,07 - Outaouais,7934,131,7507,427,174,0,7101,659,402744,1969.99,162.93,43.20
08,08 - Abitibi-Témiscamingue,1005,7,972,33,8,0,922,75,147637,680.72,50.79,5.42
09,09 - Côte-Nord,370,3,355,15,3,0,356,11,89700.5,412.48,12.31,3.34
10,10 - Nord-du-Québec,89,0,87,2,0,0,88,1,13521.5,658.21,7.42,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1752,1,1733,19,45,0,1702,5,89823,1950.50,5.58,50.10
12,12 - Chaudière-Appalaches,12579,74,12310,269,290,0,11797,492,431109.5,2917.82,113.91,67.27
13,13 - Laval,27466,111,25836,1630,890,0,25858,718,444658.5,6176.88,160.78,200.15
14,14 - Lanaudière,21806,47,21095,711,502,0,20929,375,522367,4174.46,71.48,96.10
15,15 - Laurentides,18000,46,17397,603,485,0,17138,377,630238,2856.06,59.51,76.96
16,16 - Montérégie,44595,124,42708,1887,1512,0,42063,1020,1438226,3100.69,70.65,105.13
17,17 - Nunavik,46,0,44,2,0,0,46,0,14336.5,320.86,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,4,0,4,0,0,0,4,0,.,.,.,.
99,Hors Québec,287,1,282,5,0,0,278,9,.,.,.,.
999,Ensemble du Québec,314958,1282,305177,9781,10684,3,294560,9714,8565469.5,3677.07,113.06,124.73

