RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,323,164.13
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,24,8.65
03 - Capitale-Nationale,51,1,0,0,52,1656,217.85
04 - Mauricie et Centre-du-Québec,3,0,0,0,3,106,20.22
05 - Estrie,23,0,0,0,23,124,24.96
06 - Montréal,981,7,1,5,994,3513,169.02
07 - Outaouais,38,0,0,5,43,651,160.96
08 - Abitibi-Témiscamingue,0,128,0,0,128,191,129.35
09 - Côte-Nord,0,0,0,0,0,2,2.24
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,0,0.00
12 - Chaudière-Appalaches,12,0,0,0,12,410,94.93
13 - Laval,98,3,0,1,102,812,181.83
14 - Lanaudière,58,5,0,0,63,306,58.33
15 - Laurentides,101,6,1,0,108,470,74.19
16 - Montérégie,47,3,0,0,50,586,40.59
Inconnu,0,1,0,0,1,367,
Hors Québec,12,0,0,1,13,17,
Ensemble du Québec,1424,154,2,12,1592,9558,111.24
