"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;27548
02 - Saguenay - Lac-Saint-Jean;39873
03 - Capitale-Nationale;119945
04 - Mauricie et Centre-du-Québec;80713
05 - Estrie;68181
06 - Montréal;476323
07 - Outaouais;54297
08 - Abitibi-Témiscamingue;22832
09 - Côte-Nord;30121
10 - Nord-du-Québec;8978
11 - Gaspésie - Îles-de-la-Madeleine;27883
12 - Chaudière-Appalaches;62610
13 - Laval;77071
14 - Lanaudière;79227
15 - Laurentides;88602
16 - Montérégie;205794
17 - Nunavik;5694
18 - Terres-Cries-de-la-Baie-James;10833
Inconnue;1822
Total;1488347
