No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,7,4,4,6,0,24,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,73,69,1,78,8,230,2.7 %
3,03 - Capitale-Nationale,3,388,102,9,221,17,740,8.6 %
4,04 - Mauricie et Centre-du-Québec,6,125,133,20,87,5,376,4.4 %
5,05 - Estrie,1,102,24,10,50,8,195,2.3 %
6,06 - Montréal,199,2584,483,112,516,53,3947,46.1 %
7,07 - Outaouais,7,45,31,11,35,1,130,1.5 %
8,08 - Abitibi-Témiscamingue,0,0,4,0,1,0,5,0.1 %
9,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,16,0,13,0,43,0.5 %
12,12 - Chaudière-Appalaches,5,80,49,6,57,4,201,2.3 %
13,13 - Laval,2,474,89,50,152,6,773,9.0 %
14,14 - Lanaudière,3,228,78,7,85,2,403,4.7 %
15,15 - Laurentides,59,135,68,31,67,12,372,4.3 %
16,16 - Montérégie,13,514,207,48,323,13,1118,13.1 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,1,0,0,1,2,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),302,4769,1361,309,1691,130,8562,
9999,Ensemble du Québec (%),3.5 %,55.7 %,15.9 %,3.6 %,19.8 %,1.5 %,           .,100.0 %
