Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;n.d.;119;108,3;4669;4250,7;0;;0;
5-9 ans;n.d.;149;138,5;6197;5760,4;0;;0;
10-19 ans;n.d.;378;190;14339;7208,6;0;;0;
20-29 ans;n.d.;475;145,9;22051;6772,9;0;;< 5;n.p.
30-39 ans;n.d.;317;96,6;20096;6122,9;0;;7;n.p.
40-49 ans;n.d.;313;112,8;19537;7038;0;;22;* 7,9
50-59 ans;n.d.;245;95,5;16073;6266,3;< 5;n.p.;100;39
60-69 ans;n.d.;93;43;9820;4539,3;< 5;n.p.;324;149,8
70-79 ans;n.d.;56;38,8;6411;4436,4;< 5;n.p.;828;573
80 ans et +;n.d.;38;37,8;11919;11849;9;n.p.;3457;3436,7
Manquant;n.d.;0;;96;;0;;0;
Total;35;2183;105,7;131208;6351,9;15;* 0,7;4741;229,5
