RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,156,0,0,0,156,1219,619.43,63.2,75
02 - Saguenay–Lac-Saint-Jean,59,0,2,0,61,928,334.56,100,98.5
03 - Capitale-Nationale,567,3,8,0,578,7880,"1,036.64",96.6,87.1
04 - Mauricie et Centre-du-Québec,90,0,0,1,91,1321,251.94,75,80.6
05 - Estrie,92,0,15,2,109,2291,461.18,98.9,94.3
06 - Montréal,3163,107,177,15,3462,13510,650.00,89.5,89.1
07 - Outaouais,448,16,33,0,497,3709,917.03,97.5,97.4
08 - Abitibi-Témiscamingue,0,177,0,0,177,245,165.92,100,100
09 - Côte-Nord,6,0,0,0,6,149,166.73,.,.
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,7,0,0,0,7,173,192.98,78.6,100
12 - Chaudière-Appalaches,386,2,10,0,398,3315,767.52,90.3,80.8
13 - Laval,408,13,18,1,440,3079,689.47,98,91.9
14 - Lanaudière,267,28,11,0,306,1626,309.93,87.9,94.8
15 - Laurentides,421,14,47,0,482,2419,381.84,84.8,90.5
16 - Montérégie,303,15,114,6,438,4160,288.15,90.6,85.8
Inconnu,0,1,0,0,1,718,,66.7,50
Hors Québec,47,9,2,2,60,88,,75,66.7
Ensemble du Québec,6420,386,437,27,7270,46846,545.24,91.1,89.4
