Régions sociosanitaires;2021-05-30;2021-05-31;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;6;3;3 906
02 - Saguenay – Lac-Saint-Jean;7;5;10 901
03 - Capitale-Nationale;16;9;32 587
04 - Mauricie-et-Centre-du-Québec;3;9;15 078
05 - Estrie;20;28;14 731
06 - Montréal;79;35;131 208
07 - Outaouais;16;18;12 219
08 - Abitibi-Témiscamingue;0;1;1 114
09 - Côte-Nord;0;0;571
10 - Nord-du-Québec;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;3;2;2 019
12 - Chaudière-Appalaches;31;28;18 926
13 - Laval;17;11;31 228
14 - Lanaudière;9;14;23 790
15 - Laurentides;13;11;20 762
16 - Montérégie;56;34;50 783
17 - Nunavik;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;119
Hors Québec;0;0;426
Région à déterminer;0;0;3
Total;276;208;370 527
