,,Nombre de cas confirmé,,,Nombre de décès,,,,,,Nombre d'hospitalisations,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Population en 2022,Cas de COVID-19 par 100 000,Décès par COVID-19 par 100 000,Total,Différence dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée
01,01 - Bas-Saint-Laurent,22900,85,462,186,0,5,197738.33333,.,.,1038,15,45
02,02 - Saguenay-Lac-Saint-Jean,32210,75,357,460,0,5,278600,.,.,1722,13,36
03,03 - Capitale-Nationale,93729,218,869,1596,0,6,761103.66667,.,.,4730,20,113
04,04 - Mauricie et Centre-du-Québec,61769,124,591,1022,0,7,527666.66667,.,.,3452,14,82
05,05 - Estrie,52777,131,622,629,1,1,502406,.,.,2985,11,70
06,06 - Montréal,317290,486,2326,5543,2,15,2061667.3333,.,.,16928,43,217
07,07 - Outaouais,39290,61,271,321,1,1,405378.66667,.,.,1986,1,40
08,08 - Abitibi-Témiscamingue,11229,37,231,117,0,3,147876.33333,.,.,755,9,40
09,09 - Côte-Nord,9798,49,192,46,0,0,90082.333333,.,.,592,1,18
10,10 - Nord-du-Québec,1454,6,24,4,0,0,13383.666667,.,.,57,2,0
11,11 - Gaspésie-Îles-de-la-Madeleine,10024,62,260,82,0,0,90783.333333,.,.,505,5,24
12,12 - Chaudière-Appalaches,65417,109,477,677,0,6,434525.66667,.,.,2748,17,68
13,13 - Laval,73354,96,503,1130,0,2,445993.33333,.,.,3470,14,46
14,14 - Lanaudière,72876,160,614,791,1,8,530581,.,.,3057,16,72
15,15 - Laurentides,83363,196,787,776,1,3,640046.66667,.,.,4162,33,139
16,16 - Montérégie,155814,255,1397,2299,5,15,1452381.3333,.,.,8802,35,172
17,17 - Nunavik,3192,1,15,10,0,0,14619,.,.,114,0,0
18,18 - Terres-Cries-de-la-Baie-James,2570,17,76,17,0,0,18660.333333,.,.,113,1,6
98,Inconnu,1026,0,0,0,0,0,.,.,.,414,1,4
99,Hors Québec,6749,3,20,2,0,0,.,.,.,0,0,0
999,Ensemble du Québec,1116831,2171,10094,15708,11,77,8613493.6667,.,.,57630,251,1192

