RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,403,204.78
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,31,11.18
03 - Capitale-Nationale,51,1,0,0,52,2336,307.31
04 - Mauricie et Centre-du-Québec,3,0,0,0,3,131,24.98
05 - Estrie,23,0,0,0,23,149,29.99
06 - Montréal,981,7,1,5,994,3987,191.82
07 - Outaouais,38,0,0,5,43,854,211.15
08 - Abitibi-Témiscamingue,0,128,0,0,128,191,129.35
09 - Côte-Nord,0,0,0,0,0,7,7.83
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,2,2.23
12 - Chaudière-Appalaches,12,0,0,0,12,633,146.56
13 - Laval,98,3,0,1,102,925,207.13
14 - Lanaudière,58,5,0,0,63,332,63.28
15 - Laurentides,101,6,1,0,108,499,78.77
16 - Montérégie,47,3,0,0,50,683,47.31
Inconnu,0,1,0,0,1,529,
Hors Québec,12,0,0,1,13,17,
Ensemble du Québec,1424,154,2,12,1592,11709,136.28
