"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;31325
02 - Saguenay - Lac-Saint-Jean;44915
03 - Capitale-Nationale;129895
04 - Mauricie et Centre-du-Québec;87228
05 - Estrie;75471
06 - Montréal;493355
07 - Outaouais;60107
08 - Abitibi-Témiscamingue;23757
09 - Côte-Nord;30121
10 - Nord-du-Québec;9070
11 - Gaspésie - Îles-de-la-Madeleine;27884
12 - Chaudière-Appalaches;67048
13 - Laval;84066
14 - Lanaudière;87174
15 - Laurentides;97628
16 - Montérégie;224468
17 - Nunavik;5704
18 - Terres-Cries-de-la-Baie-James;10959
Inconnue;2022
Total;1592197
