No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,11,43,5,15,0,77,0.6 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,99,5,92,9,299,2.4 %
03,03 - Capitale-Nationale,4,536,271,32,341,28,1212,9.7 %
04,04 - Mauricie et Centre-du-Québec,5,155,386,22,110,5,683,5.4 %
05,05 - Estrie,3,134,166,19,130,12,464,3.7 %
06,06 - Montréal,208,2771,1131,142,727,73,5052,40.3 %
07,07 - Outaouais,11,84,76,14,54,4,243,1.9 %
08,08 - Abitibi-Témiscamingue,2,2,23,1,3,0,31,0.2 %
09,09 - Côte-Nord,0,0,5,0,1,0,6,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,21,0,13,0,49,0.4 %
12,12 - Chaudière-Appalaches,5,131,159,8,141,5,449,3.6 %
13,13 - Laval,3,516,208,53,192,6,978,7.8 %
14,14 - Lanaudière,3,278,180,15,128,4,608,4.8 %
15,15 - Laurentides,66,190,157,55,89,14,571,4.6 %
16,16 - Montérégie,16,640,579,63,500,9,1807,14.4 %
17,17 - Nunavik,0,0,6,0,0,0,6,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,4,0,0,1,5,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,1,0,0,0,1,0.0 %
999,Ensemble du Québec (n),329,5557,3515,434,2536,170,12541,
9999,Ensemble du Québec (%),2.6 %,44.3 %,28.0 %,3.5 %,20.2 %,1.4 %,.,100.0 %

