No,RSS,NoRLS,RLS,Cas,Population,Taux
1,01 - Bas-St-Laurent,0111,0111 - RLS de Kamouraska,41,20 780,"197,3"
1,01 - Bas-St-Laurent,0112,0112 - RLS de Rivière-du-Loup,59,34 800,"169,5"
1,01 - Bas-St-Laurent,0113,0113 - RLS de Témiscouata,13,19 117,"68,0"
1,01 - Bas-St-Laurent,0114,0114 - RLS des Basques,n.d.,8 529,n.d.
1,01 - Bas-St-Laurent,0115,0115 - RLS de Rimouski,28,57 630,"48,6"
1,01 - Bas-St-Laurent,0116,0116 - RLS de La Mitis,n.d.,17 978,n.d.
1,01 - Bas-St-Laurent,0117,0117 - RLS de Matane,0,20 726,"0,0"
1,01 - Bas-St-Laurent,0118,0118 - RLS de La Matapédia,9,17 514,"51,4"
1,01 - Bas-St-Laurent,,Total,159,197 074,"80,7"
2,02 - Saguenay – Lac-St-Jean,0211,0211 - RLS du Domaine-du-Roy,14,31 078,"45,0"
2,02 - Saguenay – Lac-St-Jean,0212,0212 - RLS de Maria-Chapdelaine,16,25 064,"63,8"
2,02 - Saguenay – Lac-St-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,45,52 298,"86,0"
2,02 - Saguenay – Lac-St-Jean,0214,0214 - RLS de Jonquière,67,67 417,"99,4"
2,02 - Saguenay – Lac-St-Jean,0215,0215 - RLS de Chicoutimi,207,79 201,"261,4"
2,02 - Saguenay – Lac-St-Jean,0216,0216 - RLS de La Baie,32,22 574,"141,8"
2,02 - Saguenay – Lac-St-Jean,,Total,382,277 632,"137,6"
3,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,76,54 895,"138,4"
3,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,1368,321 016,"426,1"
3,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,1020,351 429,"290,2"
3,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,16,28 119,"56,9"
3,03 - Capitale-Nationale,,Total,2504,755 459,"331,5"
4,04 - Mauricie-et-Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,n.d.,15 020,n.d.
4,04 - Mauricie-et-Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,120,25 562,"469,4"
4,04 - Mauricie-et-Centre-du-Québec,0413,0413 - RLS de Maskinongé,252,22 961,"1 097,5"
4,04 - Mauricie-et-Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,362,64 641,"560,0"
4,04 - Mauricie-et-Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,961,143 422,"670,1"
4,04 - Mauricie-et-Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,64,44 619,"143,4"
4,04 - Mauricie-et-Centre-du-Québec,0417,0417 - RLS de Drummond,347,107 872,"321,7"
4,04 - Mauricie-et-Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,55,98 244,"56,0"
4,04 - Mauricie-et-Centre-du-Québec,,Total,2186,522 341,"418,5"
5,05 - Estrie,0511,0511 - RLS de la Pommeraie,166,56 125,"295,8"
5,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,313,105 861,"295,7"
5,05 - Estrie,0513,0513 - RLS de Memphrémagog,113,52 514,"215,2"
5,05 - Estrie,0514,0514 - RLS de Coaticook,17,18 741,"90,7"
5,05 - Estrie,0515,0515 - RLS de Sherbrooke,593,170 075,"348,7"
5,05 - Estrie,0516,0516 - RLS de Val Saint-François,83,31 490,"263,6"
5,05 - Estrie,0517,0517 - RLS d'Asbestos,48,14 257,"336,7"
5,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,59,22 749,"259,4"
5,05 - Estrie,0519,0519 - RLS du Granit,50,21 351,"234,2"
5,05 - Estrie,,Total,1454,493 163,"294,8"
6,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,1750,224 596,"779,2"
6,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,2246,149 522,"1 502,1"
6,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,1466,131 424,"1 115,5"
6,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,3163,245 703,"1 287,3"
6,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,2183,166 225,"1 313,3"
6,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,1853,161 317,"1 148,7"
6,06 - Montréal,0641,0641 - RLS du Nord de l'Île - Saint-Laurent,1977,161 894,"1 221,2"
6,06 - Montréal,0642,0642 - RLS d'Ahuntsic - Montréal-Nord,4421,172 517,"2 562,6"
6,06 - Montréal,0643,0643 - RLS de la Petite Patrie - Villeray,1121,115 485,"970,7"
6,06 - Montréal,0651,0651 - RLS de Saint-Léonard - Saint-Michel,2572,139 162,"1 848,2"
6,06 - Montréal,0652,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,3951,208 717,"1 893,0"
6,06 - Montréal,0653,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,2841,189 095,"1 502,4"
6,06 - Montréal,,Total,30436,2 065 657,"1 473,4"
7,07 - Outaouais,0711,0711 - RLS du Pontiac,5,20 152,"24,8"
7,07 - Outaouais,0712,0712 - RLS de la Vallée-de-la-Gatineau,8,20 552,"38,9"
7,07 - Outaouais,0713,0713 - RLS des Collines-de-l'Outaouais,42,38 891,"108,0"
7,07 - Outaouais,0714,0714 - RLS de Grande-Rivière - Hull - Gatineau,839,264 517,"317,2"
7,07 - Outaouais,0715,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,78,56 920,"137,0"
7,07 - Outaouais,,Total,978,401 032,"243,9"
8,08 - Abitibi-Témiscamingue,0811,0811 - RLS de l'Abitibi-Ouest,13,20 528,"63,3"
8,08 - Abitibi-Témiscamingue,0812,0812 - RLS de l'Abitibi,11,24 729,"44,5"
8,08 - Abitibi-Témiscamingue,0813,0813 - RLS de Rouyn-Noranda,132,43 180,"305,7"
8,08 - Abitibi-Témiscamingue,0814,0814 - RLS de la Vallée-de-l'Or,11,43 551,"25,3"
8,08 - Abitibi-Témiscamingue,0815,0815 - RLS du Témiscaming,22,15 628,"140,8"
8,08 - Abitibi-Témiscamingue,,Total,191,147 616,"129,4"
9,09 - Côte-Nord,0911,0911 - RLS de Caniapiscau,n.d.,3 230,n.d.
9,09 - Côte-Nord,0912,0912 - RLS de la Haute-Côte-Nord - Manicouagan,28,40 494,"69,1"
9,09 - Côte-Nord,0913,0913 - RLS de Port-Cartier,51,7 314,"697,3"
9,09 - Côte-Nord,0914,0914 - RLS de Sept-Îles,48,27 344,"175,5"
9,09 - Côte-Nord,0915,0915 - RLS de la Minganie,8,6 428,"124,5"
9,09 - Côte-Nord,0916,0916 - RLS de la Basse-Côte-Nord,0,4 582,"0,0"
9,09 - Côte-Nord,0917,0917 - RLS de Kawawachikamach,0,641,"0,0"
9,09 - Côte-Nord,,Total,137,90 033,"152,2"
10,10 - Nord-du-Québec,1001,1001 - Nord-du-Québec,8,13 558,"59,0"
10,10 - Nord-du-Québec,,Total,8,13 558,"59,0"
11,11 - Gaspésie-Îles-de-la-Madeleine,1111,1111 - RLS de la Baie-des-Chaleurs,148,32 176,"460,0"
11,11 - Gaspésie-Îles-de-la-Madeleine,1112,1112 - RLS de la Haute-Gaspésie,10,10 582,"94,5"
11,11 - Gaspésie-Îles-de-la-Madeleine,1113,1113 - RLS de La Côte-de-Gaspé,18,18 753,"96,0"
11,11 - Gaspésie-Îles-de-la-Madeleine,1114,1114 - RLS du Rocher-Percé,34,15 881,"214,1"
11,11 - Gaspésie-Îles-de-la-Madeleine,1121,1121 - RLS des Îles-de-la-Madeleine,10,12 606,"79,3"
11,11 - Gaspésie-Îles-de-la-Madeleine,,Total,220,89 998,"244,4"
12,12 - Chaudière-Appalaches,1211,1211 - RLS Alphonse-Desjardins,494,258 118,"191,4"
12,12 - Chaudière-Appalaches,1212,1212 - RLS de la région de Thetford,92,42 500,"216,5"
12,12 - Chaudière-Appalaches,1213,1213 - RLS de Beauce,112,73 173,"153,1"
12,12 - Chaudière-Appalaches,1214,1214 - RLS des Etchemins,23,16 426,"140,0"
12,12 - Chaudière-Appalaches,1215,1215 - RLS de Montmagny-L'Islet,25,40 092,"62,4"
12,12 - Chaudière-Appalaches,,Total,747,430 309,"173,6"
13,13 - Laval,1311,1311 - RLS de Laval,6507,442 745,"1 469,7"
13,13 - Laval,,Total,6507,442 745,"1 469,7"
14,14 - Lanaudière,1411,1411 - RLS de Lanaudière-Nord,1807,223 099,"810,0"
14,14 - Lanaudière,1412,1412 - RLS de Lanaudière-Sud,3061,296 993,"1 030,7"
14,14 - Lanaudière,,Total,4954,520 092,"952,5"
15,15 - Laurentides,1511,1511 - RLS d'Antoine-Labelle,34,35 580,"95,6"
15,15 - Laurentides,1512,1512 - RLS des Laurentides,185,48 016,"385,3"
15,15 - Laurentides,1513,1513 - RLS des Pays-d'en-Haut,263,44 362,"592,8"
15,15 - Laurentides,1514,1514 - RLS d'Argenteuil,131,33 422,"392,0"
15,15 - Laurentides,1515,1515 - RLS de Deux-Montagnes - Mirabel-Sud,904,124 641,"725,3"
15,15 - Laurentides,1516,1516 - RLS de la Rivière-du-Nord - Mirabel-Nord,1319,177 517,"743,0"
15,15 - Laurentides,1517,1517 - RLS de Thérèse-De Blainville,1521,163 430,"930,7"
15,15 - Laurentides,,Total,4376,626 968,"698,0"
16,16 - Montérégie,1611,1611 - RLS de Champlain,2089,225 442,"926,6"
16,16 - Montérégie,1612,1612 - RLS du Haut-Richelieu - Rouville,879,195 297,"450,1"
