RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,169,0,0,0,169,1246,633.15,"75,0","66,7"
02 - Saguenay–Lac-Saint-Jean,82,0,2,0,84,1010,364.12,"100,0","88,2"
03 - Capitale-Nationale,624,3,9,0,636,7993,"1,051.51","97,2","82,9"
04 - Mauricie et Centre-du-Québec,102,0,0,3,105,1392,265.49,"100,0","65,0"
05 - Estrie,92,0,15,1,108,2402,483.52,"96,2","96,0"
06 - Montréal,3226,123,207,20,3576,14219,684.11,"90,7","88,6"
07 - Outaouais,481,16,33,0,530,3828,946.46,"93,0","96,2"
08 - Abitibi-Témiscamingue,0,177,0,0,177,261,176.76,"50,0","100,0"
09 - Côte-Nord,10,0,0,0,10,150,167.85,.,.
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,181,201.90,"100,0","100,0"
12 - Chaudière-Appalaches,478,2,11,0,491,3471,803.64,"98,0","84,0"
13 - Laval,417,13,18,1,449,3207,718.14,"96,6","94,6"
14 - Lanaudière,282,32,11,0,325,1722,328.22,"85,7","83,3"
15 - Laurentides,447,16,47,0,510,2525,398.57,"83,3","88,6"
16 - Montérégie,324,17,129,7,477,4358,301.86,"82,8","87,0"
Inconnu,0,1,0,0,1,718,,.,.
Hors Québec,47,9,3,2,61,101,,.,.
Ensemble du Québec,6789,410,485,34,7718,48800,567.98,"90,8","88,0"
