Régions sociosanitaires;2021-06-13;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;1;3 944
02 - Saguenay – Lac-Saint-Jean;0;10 998
03 - Capitale-Nationale;7;32 704
04 - Mauricie-et-Centre-du-Québec;1;15 156
05 - Estrie;4;14 839
06 - Montréal;48;132 083
07 - Outaouais;5;12 373
08 - Abitibi-Témiscamingue;1;1 138
09 - Côte-Nord;0;572
10 - Nord-du-Québec;0;109
11 - Gaspésie – Îles-de-la-Madeleine;2;2 052
12 - Chaudière-Appalaches;9;19 196
13 - Laval;14;31 410
14 - Lanaudière;9;23 909
15 - Laurentides;5;20 893
16 - Montérégie;14;51 114
17 - Nunavik;0;47
18 - Terres-Cries-de-la-Baie-James;0;119
Hors Québec;3;453
Région à déterminer;0;3
Total;123;373 112
