Régions;Nombre de doses de vaccins administrés
01-   Bas-Saint-Laurent;3067
02 - Saguenay – Lac-Saint-Jean;5936
03 - Capitale-Nationale;19262
04 - Mauricie-et-Centre-du-Québec;7498
05 - Estrie;7629
06 - Montréal;38822
07 - Outaouais;5399
08 - Abitibi-Témiscamingue;2701
09 - Côte-Nord;2611
10 - Nord-du-Québec;106
11 - Gaspésie – Îles-de-la-Madeleine;3447
11 - Îles-de-la-Madeleine;391
12 - Chaudière-Appalaches;7962
13 - Laval;7444
14 - Lanaudière;6896
15 - Laurentides;8519
16 - Montérégie;22085
18 - Terres-Cries-de-la-Baie-James;2863
Opitciwan;580
Wemotaci;321
Total;153 539
