No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,7,4,4,9,0,27,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,84,71,2,80,8,246,2.7 %
3,03 - Capitale-Nationale,3,434,111,10,241,24,823,9.1 %
4,04 - Mauricie et Centre-du-Québec,6,129,150,21,94,5,405,4.5 %
5,05 - Estrie,1,109,28,14,67,10,229,2.5 %
6,06 - Montréal,199,2623,551,118,546,58,4095,45.1 %
7,07 - Outaouais,7,54,32,11,37,1,142,1.6 %
8,08 - Abitibi-Témiscamingue,0,0,4,0,1,0,5,0.1 %
9,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,18,0,13,0,45,0.5 %
12,12 - Chaudière-Appalaches,5,84,52,6,68,4,219,2.4 %
13,13 - Laval,2,479,100,50,161,6,798,8.8 %
14,14 - Lanaudière,3,237,90,8,94,2,434,4.8 %
15,15 - Laurentides,61,142,74,36,69,13,395,4.3 %
16,16 - Montérégie,13,543,238,52,360,13,1219,13.4 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,1,0,0,1,2,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),304,4939,1527,332,1840,145,9087,
9999,Ensemble du Québec (%),3.3 %,54.4 %,16.8 %,3.7 %,20.2 %,1.6 %,           .,100.0 %
