Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;4960
02 - Saguenay – Lac-Saint-Jean;8235
03 - Capitale-Nationale;24949
04 - Mauricie-et-Centre-du-Québec;13697
05 - Estrie;11070
06 - Montréal;70 627
07 - Outaouais;8453
08 - Abitibi-Témiscamingue;5509
09 - Côte-Nord;6707
10 - Nord-du-Québec;5243
11 - Gaspésie – Îles-de-la-Madeleine;6325
12 - Chaudière-Appalaches;10710
13 - Laval;9638
14 - Lanaudière;11241
15 - Laurentides;12547
16 - Montérégie;35276
17 - Nunavik;1156
18 - Terres-Cries-de-la-Baie-James;9319
Inconnu;888
Total;256 550
