RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,170,0,0,0,170,1253,636.70,"100,0","0,0"
02 - Saguenay–Lac-Saint-Jean,107,0,2,0,109,1020,367.73,"100,0","100,0"
03 - Capitale-Nationale,646,3,11,0,660,8031,"1,056.51","83,3","40,0"
04 - Mauricie et Centre-du-Québec,105,0,0,3,108,1410,268.92,"100,0","25,0"
05 - Estrie,93,0,16,1,110,2445,492.18,"66,7","62,5"
06 - Montréal,3278,130,220,16,3644,14559,700.47,"86,0","88,0"
07 - Outaouais,486,16,34,0,536,3913,967.47,"100,0","100,0"
08 - Abitibi-Témiscamingue,0,177,0,0,177,273,184.89,.,.
09 - Côte-Nord,10,0,0,0,10,150,167.85,.,.
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,194,216.40,"100,0","100,0"
12 - Chaudière-Appalaches,513,2,12,0,527,3519,814.75,"100,0","83,3"
13 - Laval,431,13,18,1,463,3334,746.58,"100,0","95,3"
14 - Lanaudière,288,33,13,0,334,1817,346.33,"69,2","85,2"
15 - Laurentides,468,18,47,0,533,2591,408.99,"68,4","92,3"
16 - Montérégie,335,17,133,7,492,4492,311.14,"96,1","85,7"
Inconnu,0,1,0,0,1,725,,.,.
Hors Québec,47,9,3,1,60,104,,"0,0",.
Ensemble du Québec,6985,420,509,29,7943,49846,580.15,"88,3","88,2"
