Régions sociosanitaires;2021-06-27;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;0;3 955
02 - Saguenay – Lac-Saint-Jean;1;11 015
03 - Capitale-Nationale;2;32 755
04 - Mauricie-et-Centre-du-Québec;2;15 182
05 - Estrie;1;14 886
06 - Montréal;31;132 617
07 - Outaouais;5;12 498
08 - Abitibi-Témiscamingue;0;1 146
09 - Côte-Nord;0;574
10 - Nord-du-Québec;0;109
11 - Gaspésie – Îles-de-la-Madeleine;0;2 061
12 - Chaudière-Appalaches;1;19 263
13 - Laval;11;31 600
14 - Lanaudière;8;24 029
15 - Laurentides;4;20 981
16 - Montérégie;8;51 348
17 - Nunavik;0;47
18 - Terres-Cries-de-la-Baie-James;0;119
Hors Québec;2;471
Région à déterminer;0;4
Total;76;374 660
