,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,6480,304,6452,28,64,0,4893,1523,197776,3276.43,770.89,32.36,63
02,02 - Saguenay-Lac-Saint-Jean,13265,154,13035,230,277,0,11902,1086,278602,4761.27,390.32,99.42,38
03,03 - Capitale-Nationale,43022,809,42633,389,1143,0,36836,5043,758366,5672.99,663.84,150.72,238
04,04 - Mauricie et Centre-du-Québec,26152,492,25911,241,589,1,20679,4884,526357.5,4968.49,926.70,111.90,213
05,05 - Estrie,28019,422,27493,526,400,0,23894,3725,499619.5,5608.07,742.48,80.06,253
06,06 - Montréal,195189,3826,192119,3070,4886,3,164964,25339,2056759,9490.12,1239.88,237.56,1498
07,07 - Outaouais,19380,1317,18936,444,223,0,15583,3574,403199,4806.56,882.45,55.31,167
08,08 - Abitibi-Témiscamingue,2414,103,2381,33,17,1,1661,736,147844,1632.80,498.00,11.50,19
09,09 - Côte-Nord,1220,71,1193,27,5,0,927,288,90289.5,1351.21,319.82,5.54,23
10,10 - Nord-du-Québec,167,4,165,2,0,0,141,26,13423.5,1244.09,194.36,0.00,1
11,11 - Gaspésie-Îles-de-la-Madeleine,2678,55,2652,26,48,0,2366,264,90727,2951.71,290.89,52.91,5
12,12 - Chaudière-Appalaches,31614,522,31342,272,392,0,27226,3996,433504,7292.67,920.26,90.43,248
13,13 - Laval,45958,976,43991,1967,949,1,40730,4279,443929,10352.56,961.12,213.77,338
14,14 - Lanaudière,37953,1039,37242,711,543,1,31231,6179,527366.5,7196.70,1165.05,102.96,335
15,15 - Laurentides,33936,462,33328,608,534,0,30455,2947,635711,5338.27,460.59,84.00,408
16,16 - Montérégie,81972,2481,80057,1915,1623,3,66390,13959,1445165.5,5672.15,962.07,112.31,780
17,17 - Nunavik,1128,20,1124,4,3,0,1058,67,14493,7783.07,458.12,20.70,1
18,18 - Terres-Cries-de-la-Baie-James,240,41,234,6,5,0,147,88,18505,1296.95,471.52,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1628,51,1620,8,1,0,1415,212,.,.,.,.,20
999,Ensemble du Québec,572419,13149,561911,10508,11702,10,482502,78215,8581637,6670.28,910.67,136.36,4648

