,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,14265,81,14226,39,98,0,13165,1002,197738.33333,7214.08,506.92,49.56,79
02,02 - Saguenay-Lac-Saint-Jean,23738,71,23379,359,335,5,22637,766,278600,8520.46,274.95,120.24,99
03,03 - Capitale-Nationale,72362,172,71997,365,1368,3,68482,2512,761103.66667,9507.51,327.69,179.74,277
04,04 - Mauricie et Centre-du-Québec,47728,103,47489,239,845,1,45353,1530,527666.66667,9045.10,288.52,160.14,172
05,05 - Estrie,41280,74,40755,525,534,4,40008,738,502406,8216.46,145.28,106.29,93
06,06 - Montréal,279273,260,275921,3352,5297,2,270439,3537,2061667.3333,13545.98,170.75,256.93,445
07,07 - Outaouais,34981,42,34536,445,286,3,34027,668,405378.66667,8629.22,163.03,70.55,73
08,08 - Abitibi-Témiscamingue,7242,50,7203,39,58,0,6802,382,147876.33333,4897.34,258.21,39.22,50
09,09 - Côte-Nord,5052,38,5025,27,26,2,4509,517,90082.333333,5608.20,576.57,28.86,42
10,10 - Nord-du-Québec,978,5,794,184,2,0,958,18,13383.666667,7307.41,135.30,14.94,10
11,11 - Gaspésie-Îles-de-la-Madeleine,5173,23,5137,36,53,0,4861,259,90783.333333,5698.18,284.94,58.38,38
12,12 - Chaudière-Appalaches,51309,77,51031,278,525,0,49381,1403,434525.66667,11808.05,321.37,120.82,142
13,13 - Laval,65484,76,63523,1961,1036,1,63658,790,445993.33333,14682.73,175.51,232.29,89
14,14 - Lanaudière,61993,74,61279,714,713,1,60193,1087,530581,11683.98,202.42,134.38,145
15,15 - Laurentides,68182,136,67575,607,691,7,66029,1462,640046.66667,10652.66,225.37,107.96,172
16,16 - Montérégie,127549,145,125644,1905,1995,1,123168,2386,1452381.3333,8782.06,162.67,137.36,333
17,17 - Nunavik,2652,5,2648,4,10,0,2512,130,14619,18140.78,874.18,68.40,29
18,18 - Terres-Cries-de-la-Baie-James,2084,6,1866,218,12,0,2016,56,18660.333333,11168.07,295.19,64.31,15
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,2572,0,2564,8,2,0,2546,24,.,.,.,.,2
999,Ensemble du Québec,913901,1438,902595,11306,13886,30,880748,19267,8613493.6667,10610.11,222.04,161.21,2305

