Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;364;1,3;331,4;0;
5-9 ans;321;1,1;298,4;0;
10-19 ans;1135;4;570,6;0;
20-29 ans;3764;13,2;1156,1;< 5;n.p.
30-39 ans;3723;13,1;1134,3;< 5;n.p.
40-49 ans;3905;13,7;1406,7;15;*5,4
50-59 ans;3505;12,3;1366,5;67;26,1
60-69 ans;2426;8,5;1121,4;219;101,2
70-79 ans;2421;8,5;1675,3;593;410,4
80 ans et +;6874;24,2;6833,6;2533;2518,1
Manquant;82;;;;
Total;28520;;1380,7;3434;166,2
