Régions sociosanitaires;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;57;55;28;47;50;15;3 649
02 - Saguenay – Lac-Saint-Jean;21;19;28;26;31;40;10 618
03 - Capitale-Nationale;48;38;60;69;70;46;32 172
04 - Mauricie-et-Centre-du-Québec;26;36;47;40;37;23;14 759
05 - Estrie;43;58;39;51;64;48;14 077
06 - Montréal;189;168;205;202;238;235;128 661
07 - Outaouais;21;27;43;28;19;19;11 809
08 - Abitibi-Témiscamingue;1;2;0;1;1;0;1 107
09 - Côte-Nord;2;6;-1;3;0;2;559
10 - Nord-du-Québec;4;0;1;0;1;0;101
11 - Gaspésie – Îles-de-la-Madeleine;11;7;3;5;5;4;1 933
12 - Chaudière-Appalaches;71;80;94;86;84;77;18 266
13 - Laval;61;45;61;63;65;51;30 670
14 - Lanaudière;12;15;22;27;48;33;23 500
15 - Laurentides;32;29;43;41;29;42;20 336
16 - Montérégie;62;73;68;89;90;122;49 797
17 - Nunavik;0;0;0;0;1;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;0;119
Hors Québec;1;2;4;3;5;3;391
Région à déterminer;0;0;0;0;0;0;9
Total;662;660;745;781;838;760;362 580
