,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,3649,15,3625,24,40,0,3219,390,196934.5,1852.90,198.18,20.31
02,02 - Saguenay-Lac-Saint-Jean,10618,40,10403,215,269,1,10136,213,277505,3826.24,76.79,96.94
03,03 - Capitale-Nationale,32172,46,31820,352,1102,0,30543,527,757803,4245.43,69.33,145.42
04,04 - Mauricie et Centre-du-Québec,14759,23,14520,239,514,0,13922,323,523331.5,2820.20,61.60,98.22
05,05 - Estrie,14077,48,13567,510,340,0,13191,546,494966.5,2844.03,109.91,68.69
06,06 - Montréal,128661,235,125741,2920,4703,3,121627,2331,2072060.5,6209.33,112.15,226.97
07,07 - Outaouais,11809,19,11363,446,208,0,11333,268,402744,2932.14,66.26,51.65
08,08 - Abitibi-Témiscamingue,1107,0,1074,33,9,0,1095,3,147637,749.81,2.03,6.10
09,09 - Côte-Nord,559,2,541,18,3,0,536,20,89700.5,623.18,22.38,3.34
10,10 - Nord-du-Québec,101,0,99,2,0,0,94,7,13521.5,746.96,51.91,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1933,4,1913,20,45,0,1835,53,89823,2152.01,59.12,50.10
12,12 - Chaudière-Appalaches,18266,77,17986,280,337,2,17142,787,431109.5,4236.97,182.21,78.17
13,13 - Laval,30670,51,28879,1791,906,0,29257,507,444658.5,6897.43,113.53,203.75
14,14 - Lanaudière,23500,33,22788,712,512,1,22713,275,522367,4498.75,52.42,98.02
15,15 - Laurentides,20336,42,19732,604,499,0,19548,289,630238,3226.72,45.62,79.18
16,16 - Montérégie,49797,122,47851,1946,1542,0,47313,942,1438226,3462.39,65.25,107.22
17,17 - Nunavik,47,0,45,2,0,0,46,1,14336.5,327.83,6.94,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,9,0,9,0,0,0,4,5,.,.,.,.
99,Hors Québec,391,3,386,5,0,0,369,22,.,.,.,.
999,Ensemble du Québec,362580,760,352461,10119,11032,7,344039,7509,8565469.5,4233.04,87.40,128.80

