No,RSS,NoRLS,RLS,Cas,Cas actifs,Population,Cas pour 100 000,Cas actifs pour 100 000
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,195,13,20742,940.12,62.79
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,332,25,34840,952.93,71.67
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,127,n.d.,19055.5,666.47,n.d.
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,35,n.d.,8507,411.43,n.d.
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,602,n.d.,57728,1042.82,n.d.
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,87,n.d.,17948.5,484.72,n.d.
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,224,n.d.,20658.5,1084.30,n.d.
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,50,0,17455,286.45,0.00
01,01 - Bas-Saint-Laurent,,Total (incluant inconnus),1668,49,196934.5,846.98,24.90
02,02 - Saguenay-Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,484,131,31025,1560.03,422.96
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,721,31,25019.5,2881.75,124.12
02,02 - Saguenay-Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,2356,9,52281,4506.42,17.22
02,02 - Saguenay-Lac-Saint-Jean,0214,0214 - RLS de Jonquière,2077,6,67384,3082.33,8.91
02,02 - Saguenay-Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,2841,25,79237.5,3585.42,31.54
02,02 - Saguenay-Lac-Saint-Jean,0216,0216 - RLS de La Baie,700,74,22558,3103.11,328.28
02,02 - Saguenay-Lac-Saint-Jean,,Total (incluant inconnus),9188,278,277505,3310.93,100.22
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,1413,5,55121,2563.45,9.03
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,10826,174,321832.5,3363.86,53.93
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,10247,194,352784,2904.61,54.78
03,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,528,13,28065.5,1881.31,46.41
03,03 - Capitale-Nationale,,Total (incluant inconnus),23210,392,757803,3062.80,51.57
04,04 - Mauricie et Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,400,6,15002,2666.31,40.04
04,04 - Mauricie et Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,408,n.d.,25591.5,1594.28,n.d.
04,04 - Mauricie et Centre-du-Québec,0413,0413 - RLS de Maskinongé,585,8,22969.5,2546.86,34.82
04,04 - Mauricie et Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,1400,n.d.,64680,2164.50,n.d.
04,04 - Mauricie et Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,3576,12,143710,2488.34,8.33
04,04 - Mauricie et Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,805,n.d.,44674,1801.94,n.d.
04,04 - Mauricie et Centre-du-Québec,0417,0417 - RLS de Drummond,3446,58,108252,3183.31,53.39
04,04 - Mauricie et Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,2327,18,98452.5,2363.58,18.24
04,04 - Mauricie et Centre-du-Québec,,Total (incluant inconnus),13047,111,523331.5,2493.07,21.17
05,05 - Estrie,0511,0511 - RLS de la Pommeraie,1009,10,56363,1790.18,17.67
05,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,3106,43,106352,2920.49,40.25
05,05 - Estrie,0513,0513 - RLS de Memphrémagog,738,10,52727.5,1399.65,18.89
05,05 - Estrie,0514,0514 - RLS de Coaticook,428,n.d.,18758.5,2281.63,n.d.
05,05 - Estrie,0515,0515 - RLS de Sherbrooke,4106,18,170859,2403.15,10.49
05,05 - Estrie,0516,0516 - RLS de Val Saint-François,632,n.d.,31559.5,2002.57,n.d.
05,05 - Estrie,0517,0517 - RLS d'Asbestos,604,27,14238.5,4242.02,189.87
05,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,402,n.d.,22777.5,1764.90,n.d.
05,05 - Estrie,0519,0519 - RLS du Granit,840,7,21331,3937.93,32.85
05,05 - Estrie,,Total (incluant inconnus),11867,122,494966.5,2397.54,24.56
06,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,8585,252,224851,3818.08,111.95
06,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,7912,150,149985,5275.19,99.70
06,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,5910,232,131806.5,4483.85,175.51
06,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,13561,416,246803,5494.67,167.81
06,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,6251,182,166781,3748.03,108.76
06,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,6032,154,162162,3719.74,94.47
06,06 - Montréal,0641,0641 - RLS du Nord de l'Île - Saint-Laurent,10423,349,162793,6402.61,213.21
06,06 - Montréal,0642,0642 - RLS d'Ahuntsic - Montréal-Nord,13228,316,172965.5,7647.77,182.22
06,06 - Montréal,0643,0643 - RLS de la Petite Patrie - Villeray,4514,96,115764,3899.31,82.73
06,06 - Montréal,0651,0651 - RLS de Saint-Léonard - Saint-Michel,11213,286,139539.5,8035.72,204.41
06,06 - Montréal,0652,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,13860,429,209153.5,6626.71,204.69
06,06 - Montréal,0653,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,9114,236,189456.5,4810.60,124.33
06,06 - Montréal,,Total (incluant inconnus),113027,3134,2072060.5,5454.81,150.78
07,07 - Outaouais,0711,0711 - RLS du Pontiac,88,8,20175.5,436.17,39.61
07,07 - Outaouais,0712,0712 - RLS de la Vallée-de-la-Gatineau,444,7,20531.5,2162.53,34.13
07,07 - Outaouais,0713,0713 - RLS des Collines-de-l'Outaouais,398,15,39071.5,1018.65,38.21
07,07 - Outaouais,0714,0714 - RLS de Grande-Rivière - Hull - Gatineau,5179,243,265865.5,1947.98,90.94
07,07 - Outaouais,0715,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,797,11,57100,1395.80,19.20
07,07 - Outaouais,,Total (incluant inconnus),6917,286,402744,1717.47,70.71
08,08 - Abitibi-Témiscamingue,0811,0811 - RLS de l'Abitibi-Ouest,95,n.d.,20503.5,463.34,n.d.
08,08 - Abitibi-Témiscamingue,0812,0812 - RLS de l'Abitibi,263,7,24736.5,1063.21,28.29
08,08 - Abitibi-Témiscamingue,0813,0813 - RLS de Rouyn-Noranda,295,n.d.,43239,682.25,n.d.
08,08 - Abitibi-Témiscamingue,0814,0814 - RLS de la Vallée-de-l'Or,207,17,43569.5,475.10,39.00
08,08 - Abitibi-Témiscamingue,0815,0815 - RLS du Témiscaming,47,0,15588.5,301.50,0.00
08,08 - Abitibi-Témiscamingue,,Total (incluant inconnus),914,27,147637,619.09,18.29
09,09 - Côte-Nord,0911,0911 - RLS de Caniapiscau,7,0,3216,217.66,0.00
09,09 - Côte-Nord,0912,0912 - RLS de la Haute-Côte-Nord - Manicouagan,136,n.d.,40315.5,337.34,n.d.
09,09 - Côte-Nord,0913,0913 - RLS de Port-Cartier,89,0,7285.5,1221.60,0.00
09,09 - Côte-Nord,0914,0914 - RLS de Sept-Îles,100,0,27264.5,366.78,0.00
09,09 - Côte-Nord,0915,0915 - RLS de la Minganie,17,0,6419,264.84,0.00
09,09 - Côte-Nord,0916,0916 - RLS de la Basse-Côte-Nord,6,0,4556.5,131.68,0.00
09,09 - Côte-Nord,0917,0917 - RLS de Kawawachikamach,0,0,643.5,0.00,0.00
09,09 - Côte-Nord,,Total (incluant inconnus),359,n.d.,89700.5,400.22,n.d.
10,10 - Nord-du-Québec,1001,1001 - Nord-du-Québec,88,n.d.,13521.5,650.82,n.d.
10,10 - Nord-du-Québec,,Total (incluant inconnus),88,n.d.,13521.5,650.82,n.d.
11,11 - Gaspésie-Îles-de-la-Madeleine,1111,1111 - RLS de la Baie-des-Chaleurs,766,n.d.,32134,2383.77,n.d.
11,11 - Gaspésie-Îles-de-la-Madeleine,1112,1112 - RLS de la Haute-Gaspésie,46,n.d.,10536.5,436.58,n.d.
11,11 - Gaspésie-Îles-de-la-Madeleine,1113,1113 - RLS de La Côte-de-Gaspé,465,n.d.,18730,2482.65,n.d.
11,11 - Gaspésie-Îles-de-la-Madeleine,1114,1114 - RLS du Rocher-Percé,415,n.d.,15831.5,2621.36,n.d.
11,11 - Gaspésie-Îles-de-la-Madeleine,1121,1121 - RLS des Îles-de-la-Madeleine,38,0,12591,301.80,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,,Total (incluant inconnus),1746,9,89823,1943.82,10.04
12,12 - Chaudière-Appalaches,1211,1211 - RLS Alphonse-Desjardins,6322,72,258909.5,2441.78,27.72
12,12 - Chaudière-Appalaches,1212,1212 - RLS de la région de Thetford,1338,6,42474,3150.16,14.13
12,12 - Chaudière-Appalaches,1213,1213 - RLS de Beauce,3289,53,73287,4487.84,72.21
12,12 - Chaudière-Appalaches,1214,1214 - RLS des Etchemins,431,n.d.,16401.5,2627.81,n.d.
12,12 - Chaudière-Appalaches,1215,1215 - RLS de Montmagny-L'Islet,547,n.d.,40037.5,1366.22,n.d.
12,12 - Chaudière-Appalaches,,Total (incluant inconnus),11953,137,431109.5,2772.61,31.72
13,13 - Laval,1311,1311 - RLS de Laval,26443,701,444658.5,5946.81,156.97
13,13 - Laval,,Total (incluant inconnus),26443,701,444658.5,5946.81,156.97
14,14 - Lanaudière,1411,1411 - RLS de Lanaudière-Nord,8345,160,224162,3722.75,71.04
14,14 - Lanaudière,1412,1412 - RLS de Lanaudière-Sud,12609,287,298205,4228.30,95.85
14,14 - Lanaudière,,Total (incluant inconnus),21396,460,522367,4095.97,87.68
15,15 - Laurentides,1511,1511 - RLS d'Antoine-Labelle,822,16,35581,2310.22,44.97
15,15 - Laurentides,1512,1512 - RLS des Laurentides,893,11,48185,1853.27,22.75
15,15 - Laurentides,1513,1513 - RLS des Pays-d'en-Haut,904,12,44594,2027.18,26.77
15,15 - Laurentides,1514,1514 - RLS d'Argenteuil,657,25,33534,1959.21,74.30
15,15 - Laurentides,1515,1515 - RLS de Deux-Montagnes - Mirabel-Sud,3596,77,125286,2870.23,61.14
15,15 - Laurentides,1516,1516 - RLS de la Rivière-du-Nord - Mirabel-Nord,4963,75,179123,2770.72,41.50
15,15 - Laurentides,1517,1517 - RLS de Thérèse-De Blainville,5568,102,163935,3396.47,62.03
15,15 - Laurentides,,Total (incluant inconnus),17447,319,630238,2768.32,50.35
16,16 - Montérégie,1611,1611 - RLS de Champlain,7690,161,226331,3397.68,70.86
16,16 - Montérégie,1612,1612 - RLS du Haut-Richelieu - Rouville,4901,101,196195,2498.02,51.24
16,16 - Montérégie,1621,1621 - RLS Pierre-Boucher,8891,132,263144,3378.76,50.03
16,16 - Montérégie,1622,1622 - RLS de Richelieu-Yamaska,7200,103,221458.5,3251.17,46.40
16,16 - Montérégie,1623,1623 - RLS Pierre-De Saurel,1197,5,51410,2328.34,9.72
16,16 - Montérégie,1631,1631 - RLS de Vaudreuil-Soulanges,3961,69,160847,2462.59,42.67
16,16 - Montérégie,1632,1632 - RLS du Suroît,1916,21,60776,3152.56,34.41
16,16 - Montérégie,1633,1633 - RLS du Haut-Saint-Laurent,600,8,24414,2457.61,32.68
16,16 - Montérégie,1634,1634 - RLS de Jardins-Roussillon,6924,109,233650.5,2963.40,46.40
16,16 - Montérégie,,Total (incluant inconnus),43339,714,1438226,3013.37,49.46
17,17 - Nunavik,1701,1701 - Nunavik,46,0,14336.5,320.86,0.00
17,17 - Nunavik,,Total (incluant inconnus),46,0,14336.5,320.86,0.00
18,18 - Terres-Cries-de-la-Baie-James,1801,1801 - Terres-Cries-de-la-Baie-James,119,n.d.,18507,643.00,n.d.
18,18 - Terres-Cries-de-la-Baie-James,,Total (incluant inconnus),119,n.d.,18507,643.00,n.d.

