"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;17114
02 - Saguenay - Lac-Saint-Jean;26662
03 - Capitale-Nationale;74894
04 - Mauricie et Centre-du-Québec;50194
05 - Estrie;40058
06 - Montréal;319916
07 - Outaouais;27856
08 - Abitibi-Témiscamingue;15659
09 - Côte-Nord;22261
10 - Nord-du-Québec;8716
11 - Gaspésie - Îles-de-la-Madeleine;15958
12 - Chaudière-Appalaches;38782
13 - Laval;51778
14 - Lanaudière;47511
15 - Laurentides;53815
16 - Montérégie;135351
17 - Nunavik;5158
18 - Terres-Cries-de-la-Baie-James;10470
Inconnue;4413
Total;966566
