RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,144,0,0,0,144,1139,578.77,"87,2","88,2"
02 - Saguenay–Lac-Saint-Jean,28,0,1,0,29,745,268.59,"95,2","98,1"
03 - Capitale-Nationale,492,3,4,18,517,7645,"1,005.73","99,2","87,7"
04 - Mauricie et Centre-du-Québec,54,0,0,2,56,1212,231.16,"94,2","90,5"
05 - Estrie,89,0,13,1,103,1815,365.36,"97,9","88,0"
06 - Montréal,3024,91,97,42,3254,11629,559.50,"86,9","90,7"
07 - Outaouais,413,11,22,7,453,3378,835.20,"98,0","99,0"
08 - Abitibi-Témiscamingue,0,165,0,0,165,240,162.54,"66,7","100,0"
09 - Côte-Nord,5,0,0,0,5,148,165.61,"66,7","100,0"
10 - Nord-du-Québec,0,0,0,0,0,10,74.16,"66,7","100,0"
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,130,145.01,"95,5","95,2"
12 - Chaudière-Appalaches,223,0,6,0,229,3009,696.67,"89,7","87,8"
13 - Laval,349,12,7,7,375,2816,630.58,"93,3","89,8"
14 - Lanaudière,253,17,4,8,282,1459,278.09,"82,3","92,6"
15 - Laurentides,356,11,34,9,410,2166,341.91,"82,2","91,7"
16 - Montérégie,200,11,81,7,299,3587,248.46,"88,3","86,0"
Inconnu,0,1,0,0,1,713,,"100,0","100,0"
Hors Québec,33,7,1,1,42,82,,"92,9","92,3"
Ensemble du Québec,5663,329,270,102,6364,41923,487.94,"90,1","90,2"
