Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;n.d.;149;135,6;4569;4159,6;0;;0;
5-9 ans;n.d.;215;199,9;6124;5692,5;0;;0;
10-19 ans;n.d.;575;289,1;14139;7108,1;0;;0;
20-29 ans;n.d.;602;184,9;21610;6637,4;0;;< 5;n.p.
30-39 ans;n.d.;438;133,4;19802;6033,3;0;;7;n.p.
40-49 ans;n.d.;435;156,7;19248;6933,8;< 5;n.p.;21;* 7,6
50-59 ans;n.d.;350;136,5;15840;6175,4;< 5;n.p.;98;38,2
60-69 ans;n.d.;167;77,2;9735;4500;5;n.p.;320;147,9
70-79 ans;n.d.;68;47,1;6361;4401,8;7;n.p.;825;570,9
80 ans et +;n.d.;85;84,5;11882;11812,2;14;* 13,9;3442;3421,8
Manquant;n.d.;0;;96;;0;;0;
Total;162;3084;149,3;129406;6264,6;30;* 1,5;4716;228,3
