Région;Nombre de doses de vaccins administrées
01 - Bas-Saint-Laurent;12118
02 - Saguenay - Lac-Saint-Jean;14236
03 - Capitale-Nationale;41964
04 - Mauricie et Centre-du-Québec;27996
05 - Estrie;21149
06 - Montréal;214123
07 - Outaouais;13306
08 - Abitibi-Témiscamingue;12443
09 - Côte-Nord;17540
10 - Nord-du-Québec;8370
11 - Gaspésie - Îles-de-la-Madeleine;10019
12 - Chaudière-Appalaches;23203
13 - Laval;33230
14 - Lanaudière;27647
15 - Laurentides;30978
16 - Montérégie;74786
17 - Nunavik;4796
18 - Terres-Cries-de-la-Baie-James;10358
Inconnue;1571
Total;599833
