Régions sociosanitaires;2021-05-16;2021-05-17;2021-05-18;2021-05-19;2021-05-20;2021-05-21;2021-05-22;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;25;25;20;18;18;29;22;3 854
02 - Saguenay – Lac-Saint-Jean;28;8;20;35;17;25;25;10 799
03 - Capitale-Nationale;18;28;38;32;26;24;31;32 417
04 - Mauricie-et-Centre-du-Québec;25;30;27;38;30;27;17;14 979
05 - Estrie;29;43;43;53;74;41;31;14 442
06 - Montréal;189;173;162;193;267;159;167;130 192
07 - Outaouais;19;26;25;21;71;22;13;12 035
08 - Abitibi-Témiscamingue;0;0;1;1;2;0;0;1 111
09 - Côte-Nord;6;0;0;1;2;0;0;569
10 - Nord-du-Québec;0;0;0;3;1;1;2;109
11 - Gaspésie – Îles-de-la-Madeleine;3;7;11;20;17;5;-9;1 991
12 - Chaudière-Appalaches;50;65;45;61;64;23;28;18 658
13 - Laval;43;52;46;44;37;45;34;31 024
14 - Lanaudière;29;15;18;26;25;19;22;23 673
15 - Laurentides;21;28;36;49;28;16;33;20 582
16 - Montérégie;63;54;92;64;69;63;61;50 362
17 - Nunavik;0;0;0;0;0;1;-1;47
18 - Terres-Cries-de-la-Baie-James;0;-1;0;0;0;0;0;119
Hors Québec;3;2;0;3;4;5;1;410
Région à déterminer;0;-6;0;0;0;0;0;3
Total;551;549;584;662;752;505;477;367 376
