Régions sociosanitaires;2021-05-17;2021-05-18;2021-05-19;2021-05-20;2021-05-21;2021-05-22;2021-05-23;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;25;20;18;18;29;22;14;3 868
02 - Saguenay – Lac-Saint-Jean;8;20;35;17;25;25;16;10 815
03 - Capitale-Nationale;28;38;32;26;24;31;18;32 435
04 - Mauricie-et-Centre-du-Québec;30;27;38;30;27;17;14;14 993
05 - Estrie;43;43;53;74;41;31;63;14 505
06 - Montréal;173;162;193;267;159;167;160;130 352
07 - Outaouais;26;25;21;71;22;13;19;12 054
08 - Abitibi-Témiscamingue;0;1;1;2;0;0;0;1 111
09 - Côte-Nord;0;0;1;2;0;0;0;569
10 - Nord-du-Québec;0;0;3;1;1;2;0;109
11 - Gaspésie – Îles-de-la-Madeleine;7;11;20;17;5;-9;0;1 991
12 - Chaudière-Appalaches;65;45;61;64;23;28;19;18 677
13 - Laval;52;46;44;37;45;34;23;31 047
14 - Lanaudière;15;18;26;25;19;22;13;23 686
15 - Laurentides;28;36;49;28;16;33;16;20 598
16 - Montérégie;54;92;64;69;63;61;57;50 419
17 - Nunavik;0;0;0;0;1;-1;0;47
18 - Terres-Cries-de-la-Baie-James;-1;0;0;0;0;0;0;119
Hors Québec;2;0;3;4;5;1;1;411
Région à déterminer;-6;0;0;0;0;0;0;3
Total;549;584;662;752;505;477;433;367 809
