"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;29142
02 - Saguenay - Lac-Saint-Jean;44588
03 - Capitale-Nationale;126850
04 - Mauricie et Centre-du-Québec;83255
05 - Estrie;71854
06 - Montréal;487699
07 - Outaouais;59507
08 - Abitibi-Témiscamingue;23041
09 - Côte-Nord;30121
10 - Nord-du-Québec;9019
11 - Gaspésie - Îles-de-la-Madeleine;27884
12 - Chaudière-Appalaches;65317
13 - Laval;81729
14 - Lanaudière;85302
15 - Laurentides;92844
16 - Montérégie;215420
17 - Nunavik;5704
18 - Terres-Cries-de-la-Baie-James;10918
Inconnue;2021
Total;1552215
