Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;4960
02 - Saguenay – Lac-Saint-Jean;8215
03 - Capitale-Nationale;24683
04 - Mauricie-et-Centre-du-Québec;13659
05 - Estrie;11064
06 - Montréal;59063
07 - Outaouais;8453
08 - Abitibi-Témiscamingue;5509
09 - Côte-Nord;6706
10 - Nord-du-Québec;5161
11 - Gaspésie – Îles-de-la-Madeleine;6324
12 - Chaudière-Appalaches;10710
13 - Laval;9638
14 - Lanaudière;11232
15 - Laurentides;12535
16 - Montérégie;35275
17 - Nunavik;923
18 - Terres-Cries-de-la-Baie-James;9192
Inconnu;653
Total;243 955
