No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,53,5,17,0,91,0.7 %
02,02 - Saguenay-Lac-Saint-Jean,0,97,112,7,98,9,323,2.4 %
03,03 - Capitale-Nationale,5,571,292,37,400,30,1335,9.8 %
04,04 - Mauricie et Centre-du-Québec,5,156,514,22,110,5,812,6.0 %
05,05 - Estrie,3,145,183,23,148,14,516,3.8 %
06,06 - Montréal,214,2797,1259,152,762,78,5262,38.6 %
07,07 - Outaouais,11,93,98,15,61,3,281,2.1 %
08,08 - Abitibi-Témiscamingue,2,9,35,2,6,0,54,0.4 %
09,09 - Côte-Nord,0,0,16,0,1,0,17,0.1 %
10,10 - Nord-du-Québec,0,0,1,0,0,0,1,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,22,0,13,0,50,0.4 %
12,12 - Chaudière-Appalaches,5,139,195,10,155,6,510,3.7 %
13,13 - Laval,3,527,230,57,197,7,1021,7.5 %
14,14 - Lanaudière,3,309,213,20,149,5,699,5.1 %
15,15 - Laurentides,63,222,204,63,97,13,662,4.9 %
16,16 - Montérégie,16,676,660,68,533,10,1963,14.4 %
17,17 - Nunavik,0,0,9,0,0,0,9,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,9,0,0,1,10,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,1,0,0,0,1,0.0 %
999,Ensemble du Québec (n),333,5769,4106,481,2747,181,13617,
9999,Ensemble du Québec (%),2.4 %,42.4 %,30.2 %,3.5 %,20.2 %,1.3 %,.,100.0 %

