,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,17614,123,17575,39,124,1,16179,1311,197738.33333,8907.73,663.25,62.71,102,587,12
02,02 - Saguenay-Lac-Saint-Jean,26899,133,26537,362,383,12,25323,1193,278600,9655.06,428.22,137.47,84,1288,14
03,03 - Capitale-Nationale,80413,315,80052,361,1460,6,75827,3126,761103.66667,10565.32,407.79,191.83,239,3536,27
04,04 - Mauricie et Centre-du-Québec,52708,177,52468,240,917,1,49761,2030,527666.66667,9988.88,382.81,173.78,159,2629,10
05,05 - Estrie,44612,144,44087,525,550,1,42804,1258,502406,8879.67,247.65,109.47,102,2178,26
06,06 - Montréal,291040,498,287676,3364,5349,3,280566,5125,2061667.3333,14116.73,247.41,259.45,401,14567,36
07,07 - Outaouais,36878,67,36432,446,293,0,35891,694,405378.66667,9097.17,169.38,72.28,50,1531,4
08,08 - Abitibi-Témiscamingue,9316,48,9275,41,89,3,8627,600,147876.33333,6299.86,405.57,60.19,77,509,9
09,09 - Côte-Nord,6994,39,6968,26,40,0,6364,590,90082.333333,7764.01,657.98,44.40,44,376,4
10,10 - Nord-du-Québec,1205,1,996,209,4,0,1187,14,13383.666667,9003.51,105.23,29.89,1,39,2
11,11 - Gaspésie-Îles-de-la-Madeleine,7648,71,7612,36,63,2,6781,804,90783.333333,8424.45,884.53,69.40,41,311,4
12,12 - Chaudière-Appalaches,56663,187,56380,283,581,0,53952,2130,434525.66667,13040.20,487.90,133.71,142,2071,16
13,13 - Laval,67699,119,65736,1963,1058,1,65729,912,445993.33333,15179.37,202.61,237.22,49,2850,4
14,14 - Lanaudière,65037,118,64321,716,728,0,63041,1268,530581,12257.69,236.12,137.21,92,2409,6
15,15 - Laurentides,72800,196,72193,607,714,0,70350,1736,640046.66667,11374.17,267.60,111.55,127,3029,12
16,16 - Montérégie,135996,347,134085,1911,2063,1,130311,3622,1452381.3333,9363.66,246.93,142.04,238,6621,27
17,17 - Nunavik,2842,6,2837,5,10,0,2797,35,14619,19440.45,235.36,68.40,9,88,1
18,18 - Terres-Cries-de-la-Baie-James,2406,20,2029,377,14,0,2184,208,18660.333333,12893.66,1096.41,75.03,14,71,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0,360,8
99,Hors Québec,2765,6,2757,8,2,0,2708,55,.,.,.,.,4,0,0
999,Ensemble du Québec,981539,2615,970019,11520,14442,31,940386,26711,8613493.6667,11395.36,307.83,167.67,1975,45050,222

