,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,3972,-3,3946,26,53,0,3911,8,196934.5,2016.91,4.07,26.91,-3
02,02 - Saguenay-Lac-Saint-Jean,11026,0,10804,222,271,0,10752,3,277505,3973.26,1.08,97.66,-1
03,03 - Capitale-Nationale,32856,7,32503,353,1118,0,31711,27,757803,4335.69,3.55,147.53,5
04,04 - Mauricie et Centre-du-Québec,15226,1,14986,240,526,0,14688,12,523331.5,2909.44,2.29,100.51,-1
05,05 - Estrie,14922,-1,14405,517,352,0,14563,7,494966.5,3014.75,1.41,71.12,1
06,06 - Montréal,133277,-101,130349,2928,4773,1,128146,358,2072060.5,6432.10,17.22,230.35,-124
07,07 - Outaouais,12586,-3,12138,448,215,0,12355,16,402744,3125.06,3.96,53.38,-4
08,08 - Abitibi-Témiscamingue,1146,0,1113,33,9,0,1137,0,147637,776.23,0.00,6.10,0
09,09 - Côte-Nord,579,0,560,19,4,0,575,0,89700.5,645.48,0.00,4.46,0
10,10 - Nord-du-Québec,109,0,107,2,0,0,109,0,13521.5,806.12,0.00,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2065,0,2045,20,46,0,2018,1,89823,2298.97,1.12,51.21,0
12,12 - Chaudière-Appalaches,19298,0,19017,281,368,0,18924,6,431109.5,4476.36,1.39,85.36,1
13,13 - Laval,31892,15,30064,1828,915,1,30877,100,444658.5,7172.25,22.39,205.78,7
14,14 - Lanaudière,24131,2,23418,713,517,0,23578,36,522367,4619.55,6.86,98.97,-1
15,15 - Laurentides,21077,-2,20473,604,510,0,20537,30,630238,3344.29,4.74,80.92,1
16,16 - Montérégie,51593,-6,49638,1955,1558,1,49928,107,1438226,3587.27,7.41,108.33,-12
17,17 - Nunavik,47,0,45,2,0,0,47,0,14336.5,327.83,0.00,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,504,1,499,5,0,0,494,10,.,.,.,.,7
999,Ensemble du Québec,376429,99,366232,10197,11238,3,364470,721,8565469.5,4394.73,8.39,131.20,-124

