No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,197,8,26,0,247,1.4 %
02,02 - Saguenay-Lac-Saint-Jean,0,178,216,13,165,12,584,3.2 %
03,03 - Capitale-Nationale,9,698,534,42,519,43,1845,10.2 %
04,04 - Mauricie et Centre-du-Québec,4,158,948,23,115,5,1253,6.9 %
05,05 - Estrie,4,214,330,29,221,17,815,4.5 %
06,06 - Montréal,220,2916,1640,163,864,85,5888,32.5 %
07,07 - Outaouais,11,111,178,18,79,9,406,2.2 %
08,08 - Abitibi-Témiscamingue,3,42,70,6,20,1,142,0.8 %
09,09 - Côte-Nord,0,0,62,0,1,0,63,0.3 %
10,10 - Nord-du-Québec,0,0,8,0,0,0,8,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,16,70,0,13,0,99,0.5 %
12,12 - Chaudière-Appalaches,6,200,357,11,214,7,795,4.4 %
13,13 - Laval,6,588,358,66,245,14,1277,7.1 %
14,14 - Lanaudière,3,358,343,26,194,6,930,5.1 %
15,15 - Laurentides,65,299,417,71,141,14,1007,5.6 %
16,16 - Montérégie,16,743,1206,81,654,13,2713,15.0 %
17,17 - Nunavik,0,0,11,0,0,0,11,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,19,0,0,1,20,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),350,6534,6966,557,3471,227,18105,
9999,Ensemble du Québec (%),1.9 %,36.1 %,38.5 %,3.1 %,19.2 %,1.3 %,.,100.0 %

