Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;454;1,4;413,3;0;
5-9 ans;421;1,3;391,3;0;
10-19 ans;1539;4,8;773,7;0;
20-29 ans;4942;15,5;1517,9;< 5;n.p.
30-39 ans;4339;13,6;1322;< 5;n.p.
40-49 ans;4369;13,7;1573,9;15;*5,4
50-59 ans;3849;12;1500,6;69;26,9
60-69 ans;2621;8,2;1211,6;224;103,5
70-79 ans;2510;7,8;1736,9;595;411,7
80 ans et +;6931;21,7;6890,3;2567;2551,9
Manquant;88;;;;
Total;32063;;1552,2;3477;168,3
