Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2637;8,4;1964,3;359;267,4
Anjou;790;2,5;1846;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;71;0,2;367,4;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2556;8,2;1535;261;156,7
Côte-Saint-Luc;598;1,9;1842,9;64;197,2
Dollard-des-Ormeaux;499;1,6;1020,5;83;169,7
Dorval;208;0,7;1095,9;50;263,4
Hampstead;72;0,2;1032,6;< 5;n.p.
Kirkland;146;0,5;724,5;23;*114,1
Lachine;728;2,3;1636,4;100;224,8
LaSalle;1358;4,3;1767;183;238,1
L'Île-Bizard–Sainte-Geneviève;233;0,7;1265,4;46;249,8
Mercier–Hochelaga-Maisonneuve;2623;8,4;1928,3;373;274,2
Montréal Est;49;0,2;1272,7;5;n.p.
Montréal-Nord;2788;8,9;3309,8;247;293,2
Montréal-Ouest;34;0,1;*673,3;< 5;n.p.
Mont-Royal;304;1;1499,3;77;379,8
Outremont;374;1,2;1561,3;11;*45,9
Pierrefonds–Roxboro;614;2;886;39;56,3
Plateau Mont-Royal;1256;4;1207,7;140;134,6
Pointe-Claire;247;0,8;787,1;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2378;7,6;2227,8;242;226,7
Rosemont–La Petite Patrie;1907;6,1;1366,1;239;171,2
Sainte-Anne-de-Bellevue;20;0,1;*403,4;< 5;n.p.
Saint-Laurent;1285;4,1;1300,2;120;121,4
Saint-Léonard;1333;4,3;1702,3;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1125;3,6;1439,5;182;232,9
Verdun;1076;3,4;1554,3;159;229,7
Ville-Marie;1232;3,9;1381,6;87;97,6
Villeray–Saint-Michel–Parc-Extension;2564;8,2;1782,4;131;91,1
Westmount;217;0,7;1068,3;37;182,2
Territoire à confirmer;708;;;45;
Total à Montréal;32063;;1552,2;3477;168,3
