No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,7,4,4,6,0,24,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,55,55,1,46,6,164,2.2 %
3,03 - Capitale-Nationale,3,280,87,5,122,11,508,6.8 %
4,04 - Mauricie et Centre-du-Québec,6,124,79,19,70,5,303,4.1 %
5,05 - Estrie,1,32,18,1,31,5,88,1.2 %
6,06 - Montréal,195,2512,387,105,454,47,3700,49.8 %
7,07 - Outaouais,6,22,21,11,29,1,90,1.2 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,2,0,0,0,2,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,15,0,13,0,42,0.6 %
12,12 - Chaudière-Appalaches,5,49,37,6,47,4,148,2.0 %
13,13 - Laval,2,472,67,43,142,6,732,9.8 %
14,14 - Lanaudière,3,205,65,7,77,2,359,4.8 %
15,15 - Laurentides,59,120,60,30,62,12,343,4.6 %
16,16 - Montérégie,13,434,163,41,263,13,927,12.5 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),297,4326,1063,273,1363,113,7435,
9999,Ensemble du Québec (%),4.0 %,58.2 %,14.3 %,3.7 %,18.3 %,1.5 %,           .,100.0 %
