,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,3897,5,3871,26,47,1,3727,123,196934.5,1978.83,62.50,23.87
02,02 - Saguenay-Lac-Saint-Jean,10875,16,10654,221,269,0,10489,117,277505,3918.85,42.18,96.94
03,03 - Capitale-Nationale,32543,16,32191,352,1107,0,31230,206,757803,4294.39,27.10,146.08
04,04 - Mauricie et Centre-du-Québec,15066,16,14827,239,517,0,14397,152,523331.5,2878.86,28.99,98.79
05,05 - Estrie,14654,24,14137,517,347,2,13940,367,494966.5,2960.60,73.88,70.11
06,06 - Montréal,130989,138,128067,2922,4739,2,124487,1763,2072060.5,6321.68,84.82,228.71
07,07 - Outaouais,12168,34,11721,447,214,0,11751,203,402744,3021.27,50.19,53.14
08,08 - Abitibi-Témiscamingue,1113,1,1080,33,9,0,1100,4,147637,753.88,2.71,6.10
09,09 - Côte-Nord,570,0,551,19,3,0,564,3,89700.5,635.45,3.36,3.34
10,10 - Nord-du-Québec,109,0,107,2,0,0,105,4,13521.5,806.12,29.66,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,2011,7,1991,20,45,0,1929,37,89823,2238.85,41.27,50.10
12,12 - Chaudière-Appalaches,18840,42,18560,280,351,1,18160,329,431109.5,4370.12,76.17,81.42
13,13 - Laval,31177,26,29371,1806,909,0,30004,264,444658.5,7011.45,59.12,204.43
14,14 - Lanaudière,23756,10,23045,711,515,0,23054,187,522367,4547.76,35.64,98.59
15,15 - Laurentides,20717,27,20113,604,503,0,20021,193,630238,3287.17,30.47,79.81
16,16 - Montérégie,50647,46,48696,1951,1547,1,48573,527,1438226,3521.49,36.50,107.56
17,17 - Nunavik,47,0,45,2,0,0,47,0,14336.5,327.83,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,3,0,3,0,0,0,3,0,.,.,.,.
99,Hors Québec,427,2,422,5,0,0,407,20,.,.,.,.
999,Ensemble du Québec,369728,410,359571,10157,11125,7,354104,4499,8565469.5,4316.49,52.36,129.88

