"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;18675
02 - Saguenay - Lac-Saint-Jean;28636
03 - Capitale-Nationale;86349
04 - Mauricie et Centre-du-Québec;59910
05 - Estrie;47363
06 - Montréal;381184
07 - Outaouais;34147
08 - Abitibi-Témiscamingue;18505
09 - Côte-Nord;23056
10 - Nord-du-Québec;8918
11 - Gaspésie - Îles-de-la-Madeleine;16628
12 - Chaudière-Appalaches;47761
13 - Laval;57463
14 - Lanaudière;58782
15 - Laurentides;63471
16 - Montérégie;149918
17 - Nunavik;5246
18 - Terres-Cries-de-la-Baie-James;10581
Inconnue;5365
Total;1121958
