Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;22;315;286,8;6524;5939,4;0;;0;
5-9 ans;116;971;902,6;10578;9832,7;0;;0;
10-19 ans;104;957;481,1;19629;9868;0;;0;
20-29 ans;335;1275;391,6;28185;8656,9;0;;< 5;n.p.
30-39 ans;298;1439;438,4;25775;7853,1;0;;8;n.p.
40-49 ans;191;1261;454,3;24375;8780,8;< 5;n.p.;28;* 10,1
50-59 ans;101;676;263,5;18936;7382,5;< 5;n.p.;118;46
60-69 ans;36;407;188,1;11384;5262,2;< 5;n.p.;349;161,3
70-79 ans;23;192;132,9;7264;5026,7;< 5;n.p.;854;591
80 ans et +;10;100;99,4;12512;12438,5;< 5;n.p.;3513;3492,4
Manquant;< 5;< 5;;90;;0;;0;
Total;1237;7595;367,7;165252;8000;10;* 0,5;4873;235,9
