,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4815,20,4792,23,64,0,4604,147,197776,2434.57,74.41,32.36,14
02,02 - Saguenay-Lac-Saint-Jean,11982,42,11758,224,275,0,11436,271,278602,4300.76,97.40,98.71,35
03,03 - Capitale-Nationale,37372,229,37013,359,1141,0,35050,1181,758366,4927.96,155.46,150.46,68
04,04 - Mauricie et Centre-du-Québec,20565,208,20326,239,581,1,18663,1321,526357.5,3907.04,250.65,110.38,109
05,05 - Estrie,23188,396,22662,526,389,0,20977,1822,499619.5,4641.13,363.17,77.86,183
06,06 - Montréal,165252,1237,162268,2984,4873,1,154279,6100,2056759,8034.58,298.48,236.93,426
07,07 - Outaouais,15219,103,14775,444,223,0,14591,405,403199,3774.56,100.00,55.31,31
08,08 - Abitibi-Témiscamingue,1609,17,1576,33,14,1,1534,61,147844,1088.31,41.27,9.47,6
09,09 - Côte-Nord,868,18,845,23,5,0,832,31,90289.5,961.35,34.43,5.54,2
10,10 - Nord-du-Québec,140,0,138,2,0,0,138,2,13423.5,1042.95,14.95,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2378,2,2355,23,48,0,2302,28,90727,2621.05,30.85,52.91,2
12,12 - Chaudière-Appalaches,26861,308,26589,272,387,0,24915,1559,433504,6196.25,359.03,89.27,149
13,13 - Laval,40436,192,38457,1979,943,1,38292,1201,443929,9108.66,269.76,212.42,142
14,14 - Lanaudière,30571,190,29860,711,537,0,28848,1186,527366.5,5796.92,223.62,101.83,122
15,15 - Laurentides,29410,304,28805,605,534,0,27540,1336,635711,4626.32,208.81,84.00,107
16,16 - Montérégie,64996,492,63077,1919,1612,3,60549,2835,1445165.5,4497.48,195.39,111.54,198
17,17 - Nunavik,1060,1,1056,4,2,0,1034,24,14493,7313.88,164.10,13.80,8
18,18 - Terres-Cries-de-la-Baie-James,151,1,151,0,5,0,140,6,18505,816.00,32.15,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1369,8,1362,7,1,0,1326,42,.,.,.,.,1
999,Ensemble du Québec,478246,3768,467868,10378,11634,7,447054,19558,8581637,5572.90,227.72,135.57,1603

