RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,Autres variants,TOTAL CONFIRMÉS,Présomptifs reçus,TOTAL PRÉSOMPTIFS moins confirmés
01 - Bas-Saint-Laurent,,,,,0,2,2
02 - Saguenay–Lac-Saint-Jean,,,,,0,2,2
03 - Capitale-Nationale,12,,,,12,204,192
04 - Mauricie et Centre-du-Québec,,,,,0,14,14
05 - Estrie,9,,,,9,44,35
06 - Montréal,323,1,1,2,327,1421,1094
07 - Outaouais,,,,,0,115,115
08 - Abitibi-Témiscamingue,,100,,,100,156,56
09 - Côte-Nord,,,,,0,0,0
10 - Nord-du-Québec,,,,,0,0,0
11 - Gaspésie–Îles-de-la-Madeleine,,,,,0,0,0
12 - Chaudière-Appalaches,,,,,0,54,54
13 - Laval,29,,,,29,328,299
14 - Lanaudière,8,2,,,10,120,110
15 - Laurentides,32,1,,,33,211,178
16 - Montérégie,18,2,,,20,105,85
Inconnu,,1,,,1,117,116
Hors Québec,,,,,0,0,0
Ensemble du Québec,431,107,1,2,541,2893,2352
