"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;14388
02 - Saguenay - Lac-Saint-Jean;18822
03 - Capitale-Nationale;56581
04 - Mauricie et Centre-du-Québec;37899
05 - Estrie;29635
06 - Montréal;286740
07 - Outaouais;20540
08 - Abitibi-Témiscamingue;14106
09 - Côte-Nord;18979
10 - Nord-du-Québec;8588
11 - Gaspésie - Îles-de-la-Madeleine;12181
12 - Chaudière-Appalaches;29100
13 - Laval;48218
14 - Lanaudière;41367
15 - Laurentides;42350
16 - Montérégie;107924
17 - Nunavik;5074
18 - Terres-Cries-de-la-Baie-James;10451
Inconnue;1863
Total;804806
