Date,Regroupement,Croisement,Nom,vac_quo_1_n,vac_quo_2_n,vac_cum_1_n,vac_cum_2_n,vac_quo_tot_n,vac_cum_tot_n,cvac_cum_tot_1_p,cvac_cum_tot_2_p
2020-12-14,Région,RSS00,Inconnue,,,,,30,30,0.0089838,0
2020-12-14,Région,RSS01,01 - Bas-Saint-Laurent,,,,,1,1,0.000508412,0
2020-12-14,Région,RSS02,02 - Saguenay - Lac-Saint-Jean,,,,,0,0,0,0
2020-12-14,Région,RSS03,03 - Capitale-Nationale,,,,,131,131,0.0182275,0
2020-12-14,Région,RSS04,04 - Mauricie et Centre-du-Québec,,,,,0,0,0,0
2020-12-14,Région,RSS05,05 - Estrie,,,,,0,0,0,0
2020-12-14,Région,RSS06,06 - Montréal,,,,,122,122,0.00666788,0
2020-12-14,Région,RSS07,07 - Outaouais,,,,,0,0,0,0
2020-12-14,Région,RSS08,08 - Abitibi-Témiscamingue,,,,,0,0,0,0
2020-12-14,Région,RSS09,09 - Côte-Nord,,,,,0,0,0,0
2020-12-14,Région,RSS10,10 - Nord-du-Québec,,,,,0,0,0,0
2020-12-14,Région,RSS11,11 - Gaspésie - Îles-de-la-Madeleine,,,,,0,0,0,0
2020-12-14,Région,RSS12,12 - Chaudière-Appalaches,,,,,5,5,0.00117325,0
2020-12-14,Région,RSS13,13 - Laval,,,,,2,2,0.000472235,0
2020-12-14,Région,RSS14,14 - Lanaudière,,,,,0,0,0,0
2020-12-14,Région,RSS15,15 - Laurentides,,,,,0,0,0,0
2020-12-14,Région,RSS16,16 - Montérégie,,,,,0,0,0,0
2020-12-14,Région,RSS17,17 - Nunavik,,,,,0,0,0,0
2020-12-14,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,,,,,0,0,0,0
2020-12-14,Région,RSS98,Hors Québec,,,,,0,0,,
2020-12-14,Région,RSS99,Ensemble du Québec,,,,,291,291,0.0033958,0
2020-12-14,Groupe d'âge 1,GR1_0_15,Moins de 16 ans,,,,,1,1,0,0
2020-12-14,Groupe d'âge 1,GR1_16_59,16 à 59 ans,,,,,63,63,0.00131406,0
2020-12-14,Groupe d'âge 1,GR1_60_69,60 à 69 ans,,,,,24,24,0.00215014,0
2020-12-14,Groupe d'âge 1,GR1_70_79,70 à 79 ans,,,,,35,35,0.00463007,0
