Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;< 5;69;62,8;9468;8619,7;0;;0;
5-9 ans;< 5;64;59,5;14734;13695,9;0;;0;
10-19 ans;18;222;111,6;29670;14915,9;0;;0;
20-29 ans;45;374;114,9;55275;16977,4;0;;5;n.p.
30-39 ans;54;576;175,5;49625;15119,8;0;;10;* 3
40-49 ans;49;500;180,1;42731;15393,3;0;;33;* 11,9
50-59 ans;37;320;124,8;32608;12712,7;< 5;n.p.;145;56,5
60-69 ans;14;178;82,3;18824;8701,4;0;;390;180,3
70-79 ans;9;126;87,2;10942;7571,9;< 5;n.p.;946;654,6
80 ans et +;10;203;201,8;17412;17309,7;9;n.p.;3795;3772,7
Manquant;< 5;< 5;;195;;0;;0;
Total;241;2635;127,6;281484;13626,9;14;* 0,7;5324;257,7
