No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,65,5,18,0,104,0.7 %
02,02 - Saguenay-Lac-Saint-Jean,0,103,124,8,111,9,355,2.5 %
03,03 - Capitale-Nationale,5,591,309,37,410,33,1385,9.9 %
04,04 - Mauricie et Centre-du-Québec,5,157,557,22,114,5,860,6.1 %
05,05 - Estrie,3,148,193,25,155,14,538,3.8 %
06,06 - Montréal,215,2805,1298,157,770,79,5324,37.9 %
07,07 - Outaouais,11,93,104,15,61,3,287,2.0 %
08,08 - Abitibi-Témiscamingue,3,15,41,2,6,0,67,0.5 %
09,09 - Côte-Nord,0,0,30,0,1,0,31,0.2 %
10,10 - Nord-du-Québec,0,0,3,0,0,0,3,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,28,0,13,0,56,0.4 %
12,12 - Chaudière-Appalaches,5,144,213,10,161,6,539,3.8 %
13,13 - Laval,4,530,250,57,199,7,1047,7.4 %
14,14 - Lanaudière,3,311,225,21,156,5,721,5.1 %
15,15 - Laurentides,63,238,220,64,99,13,697,5.0 %
16,16 - Montérégie,16,688,683,69,551,10,2017,14.3 %
17,17 - Nunavik,0,0,10,0,0,0,10,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,12,0,0,1,13,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),336,5851,4367,492,2825,185,14056,
9999,Ensemble du Québec (%),2.4 %,41.6 %,31.1 %,3.5 %,20.1 %,1.3 %,.,100.0 %

