,,Nombre de cas confirmé,,,Nombre de décès,,,,,,Nombre d'hospitalisations,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Population en 2023,Cas de COVID-19 par 100 000,Décès par COVID-19 par 100 000,Total,Différence dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée
01,01 - Bas-Saint-Laurent,30746,17,50,300,0,2,199471.5,.,.,2143,0,11
02,02 - Saguenay-Lac-Saint-Jean,41451,9,19,528,0,0,280734.5,.,.,2994,1,5
03,03 - Capitale-Nationale,116779,20,94,1834,0,2,765935.75,.,.,7871,0,27
04,04 - Mauricie et Centre-du-Québec,78429,6,40,1203,0,2,535227.5,.,.,6156,0,16
05,05 - Estrie,67052,4,37,872,0,3,510448.25,.,.,4961,0,10
06,06 - Montréal,364812,37,221,5839,1,2,2044355.75,.,.,24331,0,79
07,07 - Outaouais,45890,1,11,481,0,1,407054,.,.,3113,0,3
08,08 - Abitibi-Témiscamingue,14915,0,9,173,0,0,148400.5,.,.,1399,0,1
09,09 - Côte-Nord,13707,1,10,112,0,2,90467.75,.,.,1172,0,3
10,10 - Nord-du-Québec,1995,1,1,11,0,0,13363.5,.,.,108,0,1
11,11 - Gaspésie-Îles-de-la-Madeleine,14083,4,43,145,1,0,92140.75,.,.,1034,1,5
12,12 - Chaudière-Appalaches,78151,5,19,838,0,3,439816.25,.,.,4743,0,1
13,13 - Laval,84141,2,40,1163,0,1,446209,.,.,5157,0,11
14,14 - Lanaudière,86238,5,44,847,0,1,538927.25,.,.,4920,0,13
15,15 - Laurentides,101806,14,58,928,0,1,652170,.,.,6925,0,5
16,16 - Montérégie,193148,20,123,2653,1,3,1464216,.,.,15064,0,43
17,17 - Nunavik,3640,0,1,10,0,0,14677,.,.,184,0,0
18,18 - Terres-Cries-de-la-Baie-James,3117,0,0,17,0,0,18814.75,.,.,185,0,3
98,Inconnu,1275,0,0,15,0,0,.,.,.,594,1,5
99,Hors Québec,7380,0,3,0,0,0,.,.,.,0,0,0
999,Ensemble du Québec,1348755,146,823,17969,3,23,8662430,.,.,93054,3,242

