"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;54117
02 - Saguenay - Lac-Saint-Jean;67687
03 - Capitale-Nationale;184502
04 - Mauricie et Centre-du-Québec;128145
05 - Estrie;107553
06 - Montréal;599404
07 - Outaouais;90463
08 - Abitibi-Témiscamingue;30600
09 - Côte-Nord;34415
10 - Nord-du-Québec;9377
11 - Gaspésie - Îles-de-la-Madeleine;36220
12 - Chaudière-Appalaches;98244
13 - Laval;105487
14 - Lanaudière;121060
15 - Laurentides;136207
16 - Montérégie;317774
17 - Nunavik;6570
18 - Terres-Cries-de-la-Baie-James;15950
Inconnue;2150
Total;2145925
