RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,10,0,0,0,10,580,294.72
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,125,45.06
03 - Capitale-Nationale,137,2,0,3,142,4453,585.81
04 - Mauricie et Centre-du-Québec,5,0,0,0,5,324,61.79
05 - Estrie,27,0,0,0,27,375,75.49
06 - Montréal,1426,10,4,5,1445,5688,273.66
07 - Outaouais,174,2,0,5,181,1668,412.41
08 - Abitibi-Témiscamingue,0,131,0,0,131,213,144.25
09 - Côte-Nord,0,0,0,0,0,28,31.33
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,17,18.96
12 - Chaudière-Appalaches,66,0,0,0,66,1053,243.80
13 - Laval,121,3,0,4,128,1259,281.93
14 - Lanaudière,89,5,0,1,95,598,113.98
15 - Laurentides,124,6,1,0,131,859,135.59
16 - Montérégie,95,3,2,0,100,1266,87.69
Inconnu,0,1,0,0,1,693,
Hors Québec,13,0,0,1,14,28,
Ensemble du Québec,2287,163,7,19,2476,19227,223.78
