RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,173,0,0,2,175,,,,
02 - Saguenay–Lac-Saint-Jean,122,0,2,2,126,,,,
03 - Capitale-Nationale,649,4,12,30,695,,,,
04 - Mauricie et Centre-du-Québec,115,0,1,37,153,,,,
05 - Estrie,99,0,17,10,126,,,,
06 - Montréal,3351,137,258,242,3988,,,,
07 - Outaouais,492,16,35,16,559,,,,
08 - Abitibi-Témiscamingue,0,177,0,1,178,,,,
09 - Côte-Nord,11,0,0,0,11,,,,
10 - Nord-du-Québec,0,1,0,0,1,,,,
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,3,11,,,,
12 - Chaudière-Appalaches,563,2,14,6,585,,,,
13 - Laval,442,13,20,34,509,,,,
14 - Lanaudière,304,33,13,15,365,,,,
15 - Laurentides,503,31,54,23,611,,,,
16 - Montérégie,370,25,141,88,624,,,,
Inconnu,0,1,0,3,4,,,,
Hors Québec,50,9,4,34,97,,,,
Ensemble du Québec,7252,449,571,546,8818,,,,
