Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;30;40;36,4;4852;4417,3;0;;0;
5-9 ans;63;94;87,4;6445;5990,9;0;;0;
10-19 ans;126;204;102,6;14885;7483,1;0;;0;
20-29 ans;286;460;141,3;23250;7141,1;0;;< 5;n.p.
30-39 ans;171;276;84,1;20844;6350,8;0;;7;n.p.
40-49 ans;88;164;59,1;20050;7222,8;0;;22;* 7,9
50-59 ans;49;102;39,8;16401;6394,2;0;;105;40,9
60-69 ans;32;41;19;9982;4614,2;< 5;n.p.;332;153,5
70-79 ans;11;22;* 15,2;6494;4493,9;0;;837;579,2
80 ans et +;< 5;6;n.p.;11948;11877,8;0;;3468;3447,6
Manquant;5;6;;98;;0;;0;
Total;865;1415;68,5;135249;6547,5;< 5;n.p.;4774;231,1
