Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;4398
02 - Saguenay – Lac-Saint-Jean;7887
03 - Capitale-Nationale;22260
04 - Mauricie-et-Centre-du-Québec;12519
05 - Estrie;10331
06 - Montréal;51758
07 - Outaouais;8458
08 - Abitibi-Témiscamingue;5338
09 - Côte-Nord;6573
10 - Nord-du-Québec;3942
11 - Gaspésie – Îles-de-la-Madeleine;5081
11 - Îles-de-la-Madeleine;1272
12 - Chaudière-Appalaches;10841
13 - Laval;9670
14 - Lanaudière;10343
15 - Laurentides;12055
16 - Montérégie;31473
17 - Nunavik;520
18 - Terres-Cries-de-la-Baie-James;8422
Opitciwan;590
Wemotaci;361
Manawan;787
Total;224 879
